Nine Energy Service PE Ratio Historical Data,Nine Energy Service PE Ratio Historical Data,Nine Energy Service PE Ratio Historical Data,Nine Energy Service PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.23,,0.0
2024-12-31,1.12,$-1.12,0.0
2024-09-30,1.13,$-1.20,0.0
2024-06-30,1.68,$-1.33,0.0
2024-03-31,2.24,$-1.01,0.0
2023-12-31,2.68,$-0.96,0.0
2023-09-30,4.12,$-0.42,0.0
2023-06-30,3.83,$0.42,9.12
2023-03-31,5.56,$0.47,11.83
2022-12-31,14.53,$0.43,33.79
2022-09-30,2.64,$-0.33,0.0
2022-06-30,2.65,$-1.31,0.0
2022-03-31,3.74,$-2.09,0.0
2021-12-31,1.0,$-2.14,0.0
2021-09-30,1.83,$-2.80,0.0
2021-06-30,2.94,$-2.89,0.0
2021-03-31,2.3,$-2.89,0.0
2020-12-31,2.72,$-12.83,0.0
2020-09-30,1.13,$-19.16,0.0
2020-06-30,1.95,$-19.24,0.0
2020-03-31,0.81,$-18.22,0.0
2019-12-31,7.82,$-7.41,0.0
2019-09-30,6.17,$-2.68,0.0
2019-06-30,17.33,$-1.42,0.0
2019-03-31,22.65,$-1.26,0.0
2018-12-31,22.54,$-1.77,0.0
