Unity Bancorp PE Ratio Historical Data,Unity Bancorp PE Ratio Historical Data,Unity Bancorp PE Ratio Historical Data,Unity Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,41.61,,10.25
2024-12-31,43.61,$4.06,10.74
2024-09-30,33.97,$3.89,8.73
2024-06-30,29.37,$3.79,7.75
2024-03-31,27.28,$3.81,7.16
2023-12-31,29.1,$3.84,7.58
2023-09-30,22.94,$3.81,6.02
2023-06-30,22.98,$3.77,6.1
2023-03-31,22.11,$3.70,5.98
2022-12-31,26.37,$3.59,7.34
2022-09-30,24.13,$3.58,6.74
2022-06-30,25.34,$3.55,7.14
2022-03-31,26.67,$3.47,7.69
2021-12-31,24.93,$3.42,7.29
2021-09-30,22.14,$3.19,6.94
2021-06-30,20.78,$2.83,7.34
2021-03-31,20.65,$2.50,8.26
2020-12-31,16.42,$2.19,7.5
2020-09-30,10.78,$2.05,5.26
2020-06-30,13.23,$2.05,6.45
2020-03-31,10.76,$2.11,5.1
2019-12-31,20.65,$2.14,9.65
2019-09-30,20.2,$2.12,9.53
2019-06-30,20.62,$2.08,9.91
2019-03-31,17.08,$2.04,8.37
2018-12-31,18.72,$2.00,9.36
2018-09-30,20.58,$1.70,12.11
2018-06-30,20.39,$1.55,13.15
2018-03-31,19.65,$1.38,14.24
2017-12-31,17.6,$1.20,14.66
2017-09-30,17.59,$1.29,13.63
2017-06-30,15.23,$1.26,12.09
2017-03-31,14.95,$1.24,12.06
2016-12-31,13.81,$1.38,10.03
2016-09-30,11.24,$1.34,8.4
2016-06-30,10.09,$1.29,7.82
2016-03-31,9.0,$1.25,7.22
2015-12-31,9.83,$1.02,9.66
2015-09-30,7.67,$0.92,8.36
2015-06-30,7.66,$0.86,8.87
2015-03-31,7.08,$0.79,8.95
2014-12-31,7.33,$0.74,9.95
2014-09-30,7.46,$0.71,10.52
2014-06-30,7.17,$0.63,11.42
2014-03-31,6.13,$0.55,11.23
2013-12-31,5.89,$0.48,12.22
2013-09-30,5.73,$0.42,13.7
2013-06-30,5.44,$0.37,14.6
2013-03-31,4.98,$0.34,14.82
2012-12-31,4.78,$0.31,15.46
2012-09-30,4.69,$0.25,19.13
2012-06-30,4.59,$0.24,19.44
2012-03-31,4.78,$0.20,23.89
2011-12-31,4.9,$0.12,41.46
2011-09-30,5.09,$0.05,93.43
2011-06-30,5.2,$0.02,285.65
2011-03-31,5.32,$0.03,194.92
2010-12-31,4.63,$0.09,50.9
2010-09-30,4.02,$0.10,40.16
2010-06-30,4.1,$-0.09,0.0
2010-03-31,4.05,$-0.33,0.0
2009-12-31,3.08,$-0.33,0.0
