Carlisle PE Ratio Historical Data,Carlisle PE Ratio Historical Data,Carlisle PE Ratio Historical Data,Carlisle PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,339.29,,12.28
2024-12-31,368.84,$27.63,13.35
2024-09-30,448.74,$28.26,15.88
2024-06-30,403.3,$28.30,14.25
2024-03-31,389.21,$17.25,22.56
2023-12-31,309.56,$15.24,20.31
2023-09-30,256.11,$14.37,17.82
2023-06-30,252.64,$13.91,18.16
2023-03-31,221.84,$15.85,14.0
2022-12-31,230.57,$17.55,13.14
2022-09-30,273.53,$16.63,16.45
2022-06-30,232.2,$14.47,16.05
2022-03-31,238.8,$10.61,22.51
2021-12-31,240.38,$7.92,30.35
2021-09-30,192.16,$7.00,27.45
2021-06-30,184.52,$6.20,29.76
2021-03-31,158.26,$5.69,27.81
2020-12-31,149.65,$5.81,25.76
2020-09-30,116.83,$6.10,19.15
2020-06-30,113.78,$6.63,17.16
2020-03-31,118.56,$7.92,14.97
2019-12-31,152.69,$8.19,18.64
2019-09-30,136.88,$7.88,17.37
2019-06-30,131.59,$7.12,18.48
2019-03-31,114.58,$6.32,18.13
2018-12-31,93.62,$9.90,9.46
2018-09-30,113.01,$10.25,11.03
2018-06-30,100.17,$9.98,10.04
2018-03-31,96.23,$9.71,9.91
2017-12-31,104.39,$5.71,18.28
2017-09-30,91.8,$5.05,18.18
2017-06-30,86.99,$3.53,24.64
2017-03-31,96.7,$3.70,26.14
2016-12-31,99.89,$3.81,26.22
2016-09-30,92.62,$3.89,23.81
2016-06-30,95.11,$5.60,16.98
2016-03-31,89.28,$5.28,16.91
2015-12-31,79.3,$4.82,16.45
2015-09-30,77.86,$4.39,17.74
2015-06-30,88.95,$4.15,21.43
2015-03-31,82.09,$3.86,21.27
2014-12-31,79.76,$3.82,20.88
2014-09-30,70.85,$4.08,17.37
2014-06-30,76.12,$3.94,19.32
2014-03-31,69.54,$2.93,23.73
2013-12-31,69.39,$3.23,21.48
2013-09-30,61.25,$2.90,21.12
2013-06-30,54.12,$2.80,19.33
2013-03-31,58.7,$4.12,14.25
2012-12-31,50.73,$4.21,12.05
2012-09-30,44.66,$4.08,10.95
2012-06-30,45.43,$3.85,11.8
2012-03-31,42.63,$3.26,13.08
2011-12-31,37.69,$2.85,13.22
2011-09-30,27.01,$2.75,9.82
2011-06-30,41.5,$2.71,15.32
2011-03-31,37.43,$2.47,15.15
2010-12-31,33.26,$2.33,14.27
2010-09-30,24.95,$2.40,10.39
2010-06-30,29.93,$2.34,12.79
2010-03-31,31.43,$2.62,12.0
2009-12-31,28.13,$2.34,12.02
