Innate Pharma S.A PE Ratio Historical Data,Innate Pharma S.A PE Ratio Historical Data,Innate Pharma S.A PE Ratio Historical Data,Innate Pharma S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.0,,inf
2024-06-30,1.94,0.0,0.0
2023-12-31,2.8,0.0,0.0
2023-06-30,3.08,0.0,0.0
2022-12-31,3.73,0.0,0.0
2022-06-30,2.7,0.0,0.0
2021-12-31,4.56,0.0,0.0
2021-06-30,3.29,0.0,0.0
