Orix Corp Ads PE Ratio Historical Data,Orix Corp Ads PE Ratio Historical Data,Orix Corp Ads PE Ratio Historical Data,Orix Corp Ads PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,21.65,,13.03
2024-12-31,106.23,$1.66,63.92
2024-03-31,108.28,$2.05,52.72
2023-12-31,91.76,$1.71,53.66
2023-09-30,92.24,$1.72,53.69
2023-06-30,88.26,$1.70,52.04
2023-03-31,79.42,$1.70,46.61
2022-12-31,76.48,$2.03,37.67
2022-09-30,67.12,$1.97,34.14
2022-06-30,78.23,$2.21,35.37
2022-03-31,92.82,$2.30,40.32
2021-12-31,93.23,$1.97,47.42
2021-09-30,86.58,$1.86,46.45
2021-06-30,76.42,$1.58,48.31
2021-03-31,76.54,$1.46,52.28
2020-12-31,68.27,$1.50,45.45
2020-09-30,55.24,$1.74,31.71
2020-06-30,53.03,$2.07,25.67
2020-03-31,50.88,$1.74,29.17
2019-12-31,69.71,$1.38,50.51
2019-09-30,62.8,$1.33,47.29
2019-06-30,61.29,$0.73,84.42
2019-03-31,58.83,$1.25,47.14
2018-12-31,56.89,$1.25,45.59
2018-09-30,64.43,$0.74,87.07
2018-06-30,62.82,$0.73,86.53
2017-12-31,66.08,$0.21,320.79
2017-09-30,63.09,$0.19,328.59
2017-03-31,57.09,$0.19,297.35
2016-12-31,58.74,$0.18,319.25
2016-09-30,55.97,$0.17,337.18
2016-06-30,47.59,$0.17,283.25
2016-03-31,53.16,$0.17,320.21
2015-12-31,51.53,$0.14,378.92
2015-09-30,47.64,$0.13,360.89
2015-06-30,53.92,$0.14,396.49
2015-03-31,50.9,$0.14,374.25
2014-12-31,45.25,$0.14,332.69
2014-09-30,49.93,$0.13,372.6
2014-06-30,60.09,$0.11,556.36
2014-03-31,50.99,$0.09,554.26
2013-12-31,64.47,$0.09,700.78
2013-09-30,59.2,$0.36,166.3
2013-06-30,49.44,$0.58,85.84
2013-03-31,46.01,$0.89,51.93
2012-12-31,40.6,$0.89,45.83
2012-09-30,35.92,$0.83,43.38
2012-06-30,33.37,$0.84,39.73
2012-03-31,34.59,$0.76,45.51
2011-12-31,29.09,$0.76,38.27
2011-09-30,27.46,$0.69,40.03
2011-06-30,34.62,$0.59,58.88
2011-03-31,33.02,$0.47,70.56
2010-12-31,34.17,$0.47,73.02
2010-09-30,26.97,$0.37,72.88
2010-06-30,25.31,$0.32,78.6
2010-03-31,30.98,$0.25,124.94
2009-12-31,23.79,$0.25,95.94
