Perpetua Resources PE Ratio Historical Data,Perpetua Resources PE Ratio Historical Data,Perpetua Resources PE Ratio Historical Data,Perpetua Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.46,,0.0
2024-12-31,10.67,$-0.16,0.0
2024-09-30,9.35,$-0.22,0.0
2024-06-30,5.2,$-0.21,0.0
2024-03-31,4.16,$-0.27,0.0
2023-12-31,3.17,$-0.29,0.0
2023-09-30,3.26,$-0.40,0.0
2023-06-30,3.67,$-0.45,0.0
2023-03-31,4.45,$-0.43,0.0
2022-12-31,2.92,$-0.46,0.0
2022-09-30,2.02,$-0.45,0.0
2022-06-30,3.31,$-0.47,0.0
2022-03-31,4.1,$-0.66,0.0
2021-12-31,4.75,$-0.66,0.0
