Achilles Therapeutics PE Ratio Historical Data,Achilles Therapeutics PE Ratio Historical Data,Achilles Therapeutics PE Ratio Historical Data,Achilles Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.48,,0.0
2024-09-30,1.02,$-1.65,0.0
2024-06-30,0.82,$-1.59,0.0
2024-03-31,1.25,$-1.60,0.0
2023-12-31,0.89,$-1.74,0.0
2023-09-30,0.91,$-1.89,0.0
2023-06-30,0.95,$-1.79,0.0
2023-03-31,0.96,$-1.81,0.0
2022-12-31,0.9,$-1.82,0.0
2022-09-30,2.26,$-1.66,0.0
2022-06-30,2.52,$-1.68,0.0
2022-03-31,2.94,$-1.69,0.0
2021-12-31,5.01,$-9.62,0.0
