Cheesecake Factory PE Ratio Historical Data,Cheesecake Factory PE Ratio Historical Data,Cheesecake Factory PE Ratio Historical Data,Cheesecake Factory PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,48.53,,15.17
2024-12-31,47.44,$3.20,14.83
2024-09-30,40.32,$2.63,15.33
2024-06-30,38.78,$2.39,16.22
2024-03-31,35.42,$2.18,16.25
2023-12-31,34.05,$2.06,16.53
2023-09-30,29.23,$1.73,16.89
2023-06-30,33.09,$1.31,25.26
2023-03-31,33.27,$0.94,35.4
2022-12-31,29.88,$0.83,36.0
2022-09-30,27.39,$0.94,29.14
2022-06-30,24.49,$1.63,15.03
2022-03-31,36.6,$1.50,24.4
2021-12-31,36.01,$1.02,35.3
2021-09-30,43.23,$0.13,332.55
2021-06-30,49.84,$-1.27,0.0
2021-03-31,53.82,$-3.25,0.0
2020-12-31,34.09,$-3.31,0.0
2020-09-30,25.52,$-1.36,0.0
2020-06-30,21.08,$-0.24,0.0
2020-03-31,15.71,$2.16,7.27
2019-12-31,35.34,$2.85,12.4
2019-09-30,37.59,$2.10,17.9
2019-06-30,39.07,$2.35,16.63
2019-03-31,43.41,$2.17,20.01
2018-12-31,38.34,$2.13,18.0
2018-09-30,46.88,$3.02,15.52
2018-06-30,47.9,$2.97,16.13
2018-03-31,41.72,$3.14,13.29
2017-12-31,41.43,$3.29,12.59
2017-09-30,35.99,$2.71,13.28
2017-06-30,42.7,$2.85,14.98
2017-03-31,53.57,$2.85,18.8
2016-12-31,50.43,$2.82,17.88
2016-09-30,41.97,$2.70,15.54
2016-06-30,40.17,$2.52,15.94
2016-03-31,44.13,$2.43,18.16
2015-12-31,38.17,$2.31,16.53
2015-09-30,44.49,$2.25,19.77
2015-06-30,44.81,$2.21,20.27
2015-03-31,40.4,$2.11,19.15
2014-12-31,41.06,$1.98,20.74
2014-09-30,37.0,$2.12,17.46
2014-06-30,37.61,$2.14,17.57
2014-03-31,38.47,$2.07,18.58
2013-12-31,38.87,$2.11,18.42
2013-09-30,35.29,$1.89,18.67
2013-06-30,33.53,$1.88,17.83
2013-03-31,30.81,$1.88,16.39
2012-12-31,26.01,$1.78,14.61
2012-09-30,28.33,$1.92,14.75
2012-06-30,25.23,$1.79,14.1
2012-03-31,23.2,$1.69,13.73
2011-12-31,23.17,$1.66,13.96
2011-09-30,19.46,$1.48,13.15
2011-06-30,24.77,$1.49,16.62
2011-03-31,23.76,$1.39,17.09
2010-12-31,24.21,$1.36,17.8
2010-09-30,20.9,$1.00,20.9
2010-06-30,17.57,$0.90,19.53
2010-03-31,21.36,$0.86,24.84
2009-12-31,17.05,$0.72,23.67
