Intergroup PE Ratio Historical Data,Intergroup PE Ratio Historical Data,Intergroup PE Ratio Historical Data,Intergroup PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.2,,0.0
2024-12-31,14.27,$-4.58,0.0
2024-09-30,15.44,$-4.01,0.0
2024-06-30,21.22,$-4.39,0.0
2024-03-31,22.45,$-7.15,0.0
2023-12-31,19.65,$-5.87,0.0
2023-09-30,30.52,$-4.41,0.0
2023-06-30,35.68,$-3.93,0.0
2023-03-31,45.6,$0.53,86.04
2022-12-31,47.13,$0.48,98.19
2022-09-30,51.24,$-1.20,0.0
2022-06-30,42.33,$-2.09,0.0
2022-03-31,52.0,$-0.17,0.0
2021-12-31,51.0,$0.47,108.51
2021-09-30,44.09,$1.38,31.95
2021-06-30,43.01,$4.09,10.52
2021-03-31,36.56,$2.17,16.85
2020-12-31,31.62,$0.62,51.0
2020-09-30,31.26,$0.71,44.03
2020-06-30,26.5,$-0.90,0.0
2020-03-31,29.0,$-0.90,0.0
2019-12-31,37.45,$0.62,60.4
2019-09-30,29.76,$0.09,330.66
2019-06-30,30.67,$0.20,153.33
2019-03-31,30.7,$2.40,12.79
2018-12-31,32.18,$2.20,14.63
2018-09-30,35.0,$2.13,16.43
2018-06-30,26.71,$1.72,15.53
2018-03-31,24.0,$-0.89,0.0
2017-12-31,23.84,$-1.15,0.0
2017-09-30,24.05,$-1.36,0.0
2017-06-30,25.4,$-0.71,0.0
2017-03-31,25.2,$-0.47,0.0
2016-12-31,26.9,$-1.63,0.0
2016-09-30,24.3,$-2.71,0.0
2016-06-30,25.5,$-3.00,0.0
2016-03-31,25.06,$-2.98,0.0
2015-12-31,25.49,$-1.76,0.0
2015-09-30,27.66,$-0.08,0.0
2015-06-30,19.47,$-0.59,0.0
2015-03-31,20.0,$-0.09,0.0
2014-12-31,17.61,$0.05,352.2
2014-09-30,19.5,$-2.14,0.0
2014-06-30,19.1,$-1.70,0.0
2014-03-31,18.4,$-2.02,0.0
2013-12-31,18.49,$-2.24,0.0
2013-09-30,19.68,$-0.43,0.0
2013-06-30,20.99,$-0.31,0.0
2013-03-31,23.83,$-0.34,0.0
2012-12-31,21.04,$0.35,60.11
2012-09-30,23.66,$0.85,27.84
2012-06-30,24.94,$-0.67,0.0
2012-03-31,19.9,$-0.67,0.0
2011-12-31,18.0,$-0.61,0.0
2011-09-30,22.99,$2.79,8.24
2011-06-30,24.92,$4.07,6.12
2011-03-31,21.24,$3.69,5.76
2010-12-31,21.61,$2.92,7.4
2010-09-30,16.91,$-0.68,0.0
2010-06-30,15.26,$-1.07,0.0
2010-03-31,10.88,$0.08,136.0
2009-12-31,10.13,$-0.35,0.0
