Nu Skin Enterprises PE Ratio Historical Data,Nu Skin Enterprises PE Ratio Historical Data,Nu Skin Enterprises PE Ratio Historical Data,Nu Skin Enterprises PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.12,,0.0
2024-12-31,6.89,$-2.95,0.0
2024-09-30,7.31,$-2.07,0.0
2024-06-30,10.38,$-2.98,0.0
2024-03-31,13.63,$-0.06,0.0
2023-12-31,19.04,$0.18,105.79
2023-09-30,20.33,$1.18,17.23
2023-06-30,31.3,$1.41,22.2
2023-03-31,36.65,$1.54,23.8
2022-12-31,38.93,$2.07,18.81
2022-09-30,30.51,$0.74,41.23
2022-06-30,39.24,$2.22,17.68
2022-03-31,43.03,$2.70,15.94
2021-12-31,45.24,$2.85,15.87
2021-09-30,35.78,$4.43,8.08
2021-06-30,49.71,$4.54,10.95
2021-03-31,46.12,$4.20,10.98
2020-12-31,47.29,$3.65,12.96
2020-09-30,43.05,$2.97,14.49
2020-06-30,32.6,$2.68,12.16
2020-03-31,18.44,$2.70,6.83
2019-12-31,34.07,$3.11,10.96
2019-09-30,35.03,$2.07,16.92
2019-06-30,40.25,$2.22,18.13
2019-03-31,38.76,$2.29,16.93
2018-12-31,49.38,$2.16,22.86
2018-09-30,66.37,$2.81,23.62
2018-06-30,62.67,$2.63,23.83
2018-03-31,58.81,$2.50,23.53
2017-12-31,54.17,$2.37,22.86
2017-09-30,48.53,$2.73,17.78
2017-06-30,49.31,$2.95,16.71
2017-03-31,43.3,$2.97,14.58
2016-12-31,36.97,$2.52,14.67
2016-09-30,49.79,$2.45,20.32
2016-06-30,35.29,$1.75,20.17
2016-03-31,28.96,$1.71,16.94
2015-12-31,28.35,$2.25,12.6
2015-09-30,30.56,$2.40,12.73
2015-06-30,34.6,$3.24,10.68
2015-03-31,43.92,$2.81,15.63
2014-12-31,31.68,$3.26,9.72
2014-09-30,32.36,$4.51,7.18
2014-06-30,52.71,$5.19,10.16
2014-03-31,58.77,$6.09,9.65
2013-12-31,97.62,$5.94,16.43
2013-09-30,67.44,$4.89,13.79
2013-06-30,42.9,$3.96,10.83
2013-03-31,30.87,$3.68,8.39
2012-12-31,25.69,$3.52,7.3
2012-09-30,26.8,$3.31,8.1
2012-06-30,32.22,$3.16,10.2
2012-03-31,39.6,$2.87,13.8
2011-12-31,33.09,$2.37,13.96
2011-09-30,27.51,$2.19,12.56
2011-06-30,25.39,$2.02,12.57
2011-03-31,19.37,$1.87,10.36
2010-12-31,20.3,$2.11,9.62
2010-09-30,19.24,$2.00,9.62
2010-06-30,16.57,$1.85,8.96
2010-03-31,19.25,$1.70,11.33
2009-12-31,17.69,$1.41,12.55
