Exponent PE Ratio Historical Data,Exponent PE Ratio Historical Data,Exponent PE Ratio Historical Data,Exponent PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,80.22,,37.84
2024-12-31,89.1,$2.12,42.03
2024-09-30,114.94,$2.07,55.53
2024-06-30,94.58,$2.05,46.14
2024-03-31,81.98,$1.98,41.4
2023-12-31,86.98,$1.95,44.61
2023-09-30,84.31,$1.98,42.58
2023-06-30,91.64,$1.97,46.52
2023-03-31,97.63,$1.96,49.81
2022-12-31,96.8,$1.96,49.39
2022-09-30,85.45,$1.90,44.97
2022-06-30,88.92,$1.89,47.05
2022-03-31,104.75,$1.88,55.72
2021-12-31,112.89,$1.90,59.41
2021-09-30,109.24,$1.93,56.6
2021-06-30,85.98,$1.81,47.5
2021-03-31,93.71,$1.64,57.14
2020-12-31,86.4,$1.55,55.74
2020-09-30,68.97,$1.50,45.98
2020-06-30,77.3,$1.52,50.85
2020-03-31,68.51,$1.60,42.82
2019-12-31,65.55,$1.53,42.85
2019-09-30,66.24,$1.47,45.06
2019-06-30,55.35,$1.43,38.7
2019-03-31,54.42,$1.38,39.44
2018-12-31,47.68,$1.34,35.71
2018-09-30,50.26,$0.97,52.08
2018-06-30,45.18,$0.92,49.38
2018-03-31,36.74,$0.83,44.26
2017-12-31,33.1,$0.76,43.55
2017-09-30,34.31,$1.03,33.47
2017-06-30,26.98,$0.97,27.96
2017-03-31,27.46,$0.90,30.51
2016-12-31,27.71,$0.88,31.67
2016-09-30,23.39,$0.86,27.2
2016-06-30,26.66,$0.87,30.83
2016-03-31,23.21,$0.89,26.08
2015-12-31,22.64,$0.80,28.39
2015-09-30,20.14,$0.79,25.58
2015-06-30,20.17,$0.77,26.11
2015-03-31,19.95,$0.76,26.25
2014-12-31,18.45,$0.74,25.02
2014-09-30,15.8,$0.73,21.79
2014-06-30,16.47,$0.72,22.79
2014-03-31,16.62,$0.71,23.32
2013-12-31,17.05,$0.69,24.8
2013-09-30,15.82,$0.68,23.27
2013-06-30,12.99,$0.66,19.61
2013-03-31,11.82,$0.65,18.19
2012-12-31,12.2,$0.65,18.7
2012-09-30,12.48,$0.64,19.57
2012-06-30,11.54,$0.61,19.0
2012-03-31,10.6,$0.57,18.77
2011-12-31,10.05,$0.56,18.1
2011-09-30,9.03,$0.52,17.29
2011-06-30,9.51,$0.50,18.92
2011-03-31,9.75,$0.49,20.1
2010-12-31,8.2,$0.46,17.93
2010-09-30,7.34,$0.43,17.07
2010-06-30,7.15,$0.40,17.99
2010-03-31,6.23,$0.38,16.51
2009-12-31,6.08,$0.37,16.55
