Eastern PE Ratio Historical Data,Eastern PE Ratio Historical Data,Eastern PE Ratio Historical Data,Eastern PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,26.64,,0.0
2024-12-31,26.54,$-1.59,0.0
2024-09-30,32.32,$-1.03,0.0
2024-06-30,25.27,$1.92,13.16
2024-03-31,33.69,$1.58,21.32
2023-12-31,21.65,$1.37,15.8
2023-09-30,17.75,$0.84,21.14
2023-06-30,17.59,$1.13,15.57
2023-03-31,18.82,$1.56,12.06
2022-12-31,18.53,$1.94,9.55
2022-09-30,16.59,$2.53,6.56
2022-06-30,19.36,$2.70,7.17
2022-03-31,22.04,$1.34,16.45
2021-12-31,23.62,$1.79,13.2
2021-09-30,23.6,$1.40,16.86
2021-06-30,28.36,$0.93,30.49
2021-03-31,24.97,$1.34,18.63
2020-12-31,22.36,$0.87,25.7
2020-09-30,18.02,$1.43,12.6
2020-06-30,16.4,$1.62,10.13
2020-03-31,17.78,$2.32,7.66
2019-12-31,27.72,$2.11,13.14
2019-09-30,22.45,$2.02,11.11
2019-06-30,25.22,$1.95,12.93
2019-03-31,24.66,$2.07,11.91
2018-12-31,21.59,$2.31,9.34
2018-09-30,25.25,$1.58,15.98
2018-06-30,24.84,$1.33,18.68
2018-03-31,25.15,$1.04,24.18
2017-12-31,22.98,$0.79,29.08
2017-09-30,25.11,$1.24,20.25
2017-06-30,26.19,$1.27,20.62
2017-03-31,18.62,$1.37,13.59
2016-12-31,18.04,$1.23,14.67
2016-09-30,17.18,$1.09,15.76
2016-06-30,14.15,$1.12,12.64
2016-03-31,13.92,$0.88,15.82
2015-12-31,15.83,$0.92,17.21
2015-09-30,13.39,$0.97,13.81
2015-06-30,15.4,$0.95,16.21
2015-03-31,16.59,$1.13,14.68
2014-12-31,14.03,$1.23,11.41
2014-09-30,13.03,$1.21,10.77
2014-06-30,12.49,$1.11,11.25
2014-03-31,13.03,$1.19,10.95
2013-12-31,12.7,$1.11,11.44
2013-09-30,12.81,$1.08,11.87
2013-06-30,12.6,$1.15,10.96
2013-03-31,13.72,$1.22,11.25
2012-12-31,12.3,$1.39,8.85
2012-09-30,14.37,$1.35,10.64
2012-06-30,12.31,$1.23,10.01
2012-03-31,15.16,$1.05,14.44
2011-12-31,15.08,$0.90,16.76
2011-09-30,13.8,$0.92,15.0
2011-06-30,12.06,$0.92,13.1
2011-03-31,14.21,$0.91,15.62
2010-12-31,13.2,$0.89,14.84
2010-09-30,11.95,$0.69,17.32
2010-06-30,10.63,$0.60,17.71
2010-03-31,9.75,$0.50,19.5
2009-12-31,9.6,$0.16,60.02
