Cresud S.A.C.I.F Y A PE Ratio Historical Data,Cresud S.A.C.I.F Y A PE Ratio Historical Data,Cresud S.A.C.I.F Y A PE Ratio Historical Data,Cresud S.A.C.I.F Y A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.99,,0.0
2024-09-30,8.24,$-1.32,0.0
2024-06-30,7.84,$1.31,5.98
2024-03-31,8.14,$1.93,4.22
2023-12-31,8.64,$3.55,2.43
2023-09-30,5.58,$4.68,1.19
2023-06-30,6.44,$3.12,2.07
2023-03-31,4.94,$4.16,1.19
2022-12-31,5.18,$4.00,1.3
2022-09-30,4.13,$3.43,1.2
2021-12-31,3.57,$2.95,1.21
2021-09-30,3.67,$-1.24,0.0
2021-06-30,4.52,$-0.90,0.0
2021-03-31,3.94,$-2.52,0.0
2020-12-31,3.62,$-4.04,0.0
2020-09-30,2.12,$-3.24,0.0
2020-06-30,2.24,$-4.94,0.0
2020-03-31,2.63,$-3.32,0.0
2019-12-31,5.32,$-2.90,0.0
2019-09-30,4.35,$-3.62,0.0
2019-06-30,7.71,$-1.42,0.0
2019-03-31,8.53,$-1.42,0.0
2018-12-31,8.94,$0.25,36.06
2018-09-30,9.99,$6.39,1.56
2018-06-30,10.46,$5.37,1.95
2018-03-31,14.22,$5.37,2.65
2017-12-31,15.59,$4.58,3.41
2017-09-30,12.91,$1.54,8.41
2017-06-30,13.45,$0.71,18.86
2017-03-31,13.87,$0.12,116.79
2016-12-31,10.9,$0.28,39.54
2016-09-30,12.25,$-2.28,0.0
2016-06-30,9.69,$-2.26,0.0
2016-03-31,7.99,$-0.45,0.0
2015-12-31,8.85,$-0.83,0.0
2015-09-30,6.71,$-0.14,0.0
2015-06-30,8.93,$0.18,48.44
2015-03-31,9.44,$-2.21,0.0
2014-12-31,6.92,$-1.63,0.0
2014-09-30,7.39,$-1.97,0.0
2014-06-30,8.85,$-2.01,0.0
2014-03-31,6.3,$-1.15,0.0
2013-12-31,6.85,$-1.08,0.0
2013-09-30,5.75,$-0.29,0.0
2013-06-30,4.89,$-0.04,0.0
2013-03-31,6.18,$0.31,19.7
2012-12-31,5.48,$0.35,15.66
2012-09-30,5.09,$0.10,51.67
2012-06-30,4.47,$0.16,27.7
2012-03-31,7.68,$0.41,18.62
2011-12-31,7.1,$0.44,16.16
2011-09-30,6.57,$0.66,9.9
2011-06-30,9.86,$0.83,11.83
2011-03-31,10.99,$0.54,20.43
2010-12-31,11.31,$0.59,19.11
2010-09-30,9.56,$0.73,13.16
2010-06-30,7.23,$0.82,8.87
2010-03-31,8.31,$0.82,10.18
2009-12-31,8.59,$0.60,14.29
