Sportsman's Warehouse Holdings PE Ratio Historical Data,Sportsman's Warehouse Holdings PE Ratio Historical Data,Sportsman's Warehouse Holdings PE Ratio Historical Data,Sportsman's Warehouse Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.96,,0.0
2024-10-31,2.61,$-0.88,0.0
2024-07-31,2.55,$-0.91,0.0
2024-04-30,3.2,$-0.84,0.0
2024-01-31,3.85,$-0.78,0.0
2023-10-31,5.09,$-0.26,0.0
2023-07-31,6.3,$0.11,57.27
2023-04-30,6.22,$0.55,11.31
2023-01-31,9.43,$1.02,9.25
2022-10-31,8.98,$2.04,4.4
2022-07-31,9.86,$2.20,4.48
2022-04-30,9.61,$2.25,4.27
2022-01-31,10.96,$2.43,4.51
2021-10-31,17.26,$1.78,9.7
2021-07-31,17.67,$1.97,8.97
2021-04-30,17.56,$2.30,7.63
2021-01-31,17.52,$2.04,8.59
2020-10-31,13.02,$1.60,8.14
2020-07-31,16.09,$1.16,13.87
2020-04-30,7.16,$0.56,12.79
2020-01-31,6.48,$0.46,14.09
2019-10-31,6.81,$0.49,13.9
2019-07-31,4.49,$0.54,8.31
2019-04-30,4.46,$0.56,7.96
2019-01-31,5.14,$0.55,9.35
2018-10-31,5.03,$0.44,11.43
2018-07-31,5.09,$0.38,13.39
2018-04-30,4.99,$0.38,13.13
2018-01-31,5.07,$0.41,12.37
2017-10-31,4.1,$0.52,7.88
2017-07-31,4.53,$0.54,8.39
2017-04-30,4.09,$0.59,6.93
2017-01-31,7.44,$0.71,10.48
2016-10-31,9.2,$0.73,12.6
2016-07-31,10.18,$0.71,14.34
2016-04-30,11.38,$0.70,16.26
2016-01-31,13.11,$0.66,19.86
2015-10-31,10.76,$0.47,22.89
2015-07-31,11.69,$0.45,25.98
2015-04-30,9.63,$0.38,25.34
2015-01-31,7.13,$0.31,23.0
