BIO-key PE Ratio Historical Data,BIO-key PE Ratio Historical Data,BIO-key PE Ratio Historical Data,BIO-key PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.01,,0.0
2024-09-30,0.96,$-1.71,0.0
2024-06-30,1.64,$-2.76,0.0
2024-03-31,2.1,$-4.64,0.0
2023-12-31,3.0,$-5.40,0.0
2023-09-30,9.72,$-16.55,0.0
2023-06-30,13.53,$-20.32,0.0
2023-03-31,12.6,$-21.22,0.0
2022-12-31,10.53,$-22.30,0.0
2022-09-30,27.54,$-15.83,0.0
2022-06-30,31.86,$-12.95,0.0
2022-03-31,43.2,$-11.87,0.0
2021-12-31,39.78,$-11.33,0.0
2021-09-30,63.36,$-9.89,0.0
2021-06-30,68.4,$-16.19,0.0
2021-03-31,62.82,$-25.00,0.0
2020-12-31,63.36,$-56.48,0.0
2020-09-30,63.32,$-149.64,0.0
2020-06-30,128.16,$-159.71,0.0
2020-03-31,133.2,$-162.59,0.0
2019-12-31,72.0,$-148.20,0.0
2019-09-30,89.28,$-66.19,0.0
2019-06-30,177.12,$-80.58,0.0
2019-03-31,211.68,$-87.77,0.0
2018-12-31,108.0,$-112.23,0.0
2018-09-30,200.16,$-92.09,0.0
2018-06-30,381.6,$-99.28,0.0
