Clipper Realty PE Ratio Historical Data,Clipper Realty PE Ratio Historical Data,Clipper Realty PE Ratio Historical Data,Clipper Realty PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.7,,0.0
2024-12-31,4.58,$-0.25,0.0
2024-09-30,5.6,$-0.29,0.0
2024-06-30,3.47,$-0.31,0.0
2024-03-31,4.54,$-0.35,0.0
2023-12-31,4.97,$-0.45,0.0
2023-09-30,4.67,$-0.46,0.0
2023-06-30,5.03,$-0.47,0.0
2023-03-31,5.01,$-0.45,0.0
2022-12-31,5.49,$-0.35,0.0
2022-09-30,5.91,$-0.41,0.0
2022-06-30,6.47,$-0.42,0.0
2022-03-31,7.52,$-0.43,0.0
2021-12-31,8.16,$-0.52,0.0
2021-09-30,6.58,$-0.46,0.0
2021-06-30,5.9,$-0.46,0.0
2021-03-31,6.28,$-0.50,0.0
2020-12-31,5.52,$-0.34,0.0
2020-09-30,4.67,$-0.30,0.0
2020-06-30,6.16,$-0.22,0.0
2020-03-31,3.89,$-0.12,0.0
2019-12-31,7.83,$-0.11,0.0
2019-09-30,7.45,$-0.09,0.0
2019-06-30,8.1,$-0.06,0.0
2019-03-31,9.63,$-0.03,0.0
2018-12-31,9.33,$-0.23,0.0
2018-09-30,9.6,$-0.23,0.0
2018-06-30,6.01,$-0.29,0.0
2018-03-31,5.9,$-0.33,0.0
2017-12-31,6.88,$-0.15,0.0
