Nkarta PE Ratio Historical Data,Nkarta PE Ratio Historical Data,Nkarta PE Ratio Historical Data,Nkarta PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.5,,0.0
2024-09-30,4.52,$-1.88,0.0
2024-06-30,5.91,$-2.01,0.0
2024-03-31,10.81,$-2.35,0.0
2023-12-31,6.6,$-2.40,0.0
2023-09-30,1.39,$-2.50,0.0
2023-06-30,2.19,$-2.56,0.0
2023-03-31,3.55,$-2.49,0.0
2022-12-31,5.99,$-2.65,0.0
2022-09-30,13.16,$-2.67,0.0
2022-06-30,12.32,$-2.77,0.0
2022-03-31,11.38,$-2.82,0.0
2021-12-31,15.35,$-2.62,0.0
2021-09-30,27.81,$-2.48,0.0
2021-06-30,31.69,$-2.24,0.0
