ReposiTrak PE Ratio Historical Data,ReposiTrak PE Ratio Historical Data,ReposiTrak PE Ratio Historical Data,ReposiTrak PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,19.84,,62.0
2024-12-31,22.13,$0.32,69.16
2024-09-30,18.47,$0.31,59.58
2024-06-30,15.28,$0.30,50.92
2024-03-31,15.82,$0.29,54.55
2023-12-31,9.98,$0.29,34.41
2023-09-30,8.72,$0.28,31.14
2023-06-30,10.03,$0.27,37.14
2023-03-31,6.23,$0.25,24.93
2022-12-31,4.89,$0.22,22.22
2022-09-30,5.27,$0.20,26.33
2022-06-30,4.33,$0.18,24.06
2022-03-31,5.2,$0.18,28.87
2021-12-31,5.71,$0.16,35.68
2021-09-30,5.36,$0.20,26.82
2021-06-30,5.42,$0.18,30.13
2021-03-31,6.01,$0.15,40.09
2020-12-31,4.71,$0.13,36.27
2020-09-30,4.85,$0.08,60.66
2020-06-30,4.16,$0.06,69.4
2020-03-31,3.74,$0.04,93.51
2019-12-31,4.98,$0.08,62.26
2019-09-30,5.68,$0.13,43.69
2019-06-30,5.28,$0.17,31.03
2019-03-31,7.86,$0.23,34.19
2018-12-31,5.88,$0.20,29.38
2018-09-30,9.94,$0.18,55.23
2018-06-30,7.78,$0.15,51.84
2018-03-31,8.61,$0.12,71.77
2017-12-31,9.4,$0.13,72.31
2017-09-30,11.96,$0.13,92.0
2017-06-30,11.96,$0.14,85.42
2017-03-31,12.16,$0.13,93.51
2016-12-31,12.5,$0.11,113.64
2016-09-30,11.61,$0.06,193.58
2016-06-30,8.83,$0.01,882.93
2016-03-31,8.9,$-0.15,0.0
2015-12-31,11.72,$-0.32,0.0
2015-09-30,10.4,$-0.37,0.0
2015-06-30,12.2,$-0.37,0.0
2015-03-31,13.56,$-0.27,0.0
2014-12-31,8.88,$-0.14,0.0
2014-09-30,9.71,$-0.14,0.0
2014-06-30,10.72,$-0.18,0.0
2014-03-31,8.93,$-0.15,0.0
2013-12-31,10.0,$-0.13,0.0
2013-09-30,8.59,$-0.12,0.0
2013-06-30,7.46,$-0.05,0.0
2013-03-31,3.64,$-0.06,0.0
2012-12-31,2.95,$-0.10,0.0
2012-09-30,3.25,$-0.10,0.0
2012-06-30,3.89,$-0.14,0.0
2012-03-31,3.0,$-0.12,0.0
2011-12-31,3.0,$-0.11,0.0
2011-09-30,4.04,$-0.08,0.0
2011-06-30,4.68,$-0.09,0.0
2011-03-31,5.41,$-0.10,0.0
2010-12-31,5.36,$-0.06,0.0
2010-09-30,4.68,$-0.07,0.0
2010-06-30,3.74,$-0.01,0.0
2010-03-31,3.64,$-0.04,0.0
2009-12-31,3.26,$-0.25,0.0
