WEC Energy PE Ratio Historical Data,WEC Energy PE Ratio Historical Data,WEC Energy PE Ratio Historical Data,WEC Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,107.81,,22.32
2024-12-31,94.04,$4.83,19.47
2024-09-30,95.35,$4.09,23.31
2024-06-30,77.07,$4.33,17.8
2024-03-31,79.88,$4.58,17.44
2023-12-31,80.99,$4.22,19.19
2023-09-30,76.75,$4.33,17.72
2023-06-30,83.33,$4.29,19.42
2023-03-31,88.77,$4.28,20.74
2022-12-31,87.08,$4.46,19.52
2022-09-30,82.42,$4.37,18.86
2022-06-30,92.11,$4.33,21.27
2022-03-31,90.7,$4.29,21.14
2021-12-31,87.51,$4.11,21.29
2021-09-30,78.92,$4.16,18.97
2021-06-30,79.03,$4.08,19.37
2021-03-31,82.57,$3.97,20.8
2020-12-31,80.55,$3.79,21.25
2020-09-30,84.29,$3.80,22.18
2020-06-30,75.72,$3.70,20.46
2020-03-31,75.57,$3.68,20.53
2019-12-31,78.59,$3.58,21.95
2019-09-30,80.5,$3.46,23.27
2019-06-30,70.11,$3.46,20.26
2019-03-31,66.01,$3.45,19.13
2018-12-31,57.36,$3.35,17.12
2018-09-30,54.86,$4.06,13.51
2018-06-30,52.69,$4.00,13.17
2018-03-31,50.65,$3.90,12.99
2017-12-31,53.18,$3.79,14.03
2017-09-30,49.88,$3.04,16.41
2017-06-30,48.38,$3.04,15.91
2017-03-31,47.38,$2.98,15.9
2016-12-31,45.42,$2.95,15.4
2016-09-30,45.97,$2.91,15.8
2016-06-30,49.73,$2.81,17.7
2016-03-31,45.38,$2.59,17.52
2015-12-31,38.42,$2.36,16.28
2015-09-30,38.75,$2.32,16.7
2015-06-30,33.21,$2.30,14.44
2015-03-31,36.07,$2.53,14.26
2014-12-31,38.12,$2.58,14.78
2014-09-30,30.83,$2.68,11.51
2014-06-30,33.34,$2.72,12.26
2014-03-31,32.8,$2.66,12.33
2013-12-31,28.86,$2.51,11.5
2013-09-30,27.93,$2.31,12.09
2013-06-30,28.1,$2.38,11.81
2013-03-31,29.18,$2.37,12.31
2012-12-31,24.85,$2.35,10.58
2012-09-30,25.2,$2.42,10.41
2012-06-30,26.27,$2.30,11.42
2012-03-31,23.17,$2.25,10.3
2011-12-31,22.82,$2.23,10.23
2011-09-30,20.26,$2.26,8.97
2011-06-30,20.12,$2.19,9.21
2011-03-31,19.41,$2.10,9.24
2010-12-31,18.57,$1.93,9.62
2010-09-30,18.11,$1.90,9.53
2010-06-30,15.78,$1.68,9.42
2010-03-31,15.25,$1.57,9.71
2009-12-31,15.25,$1.62,9.42
