NiSource PE Ratio Historical Data,NiSource PE Ratio Historical Data,NiSource PE Ratio Historical Data,NiSource PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,39.57,,24.43
2024-12-31,36.76,$1.62,22.69
2024-09-30,34.39,$1.65,20.84
2024-06-30,28.35,$1.63,17.4
2024-03-31,26.97,$1.53,17.62
2023-12-31,25.62,$1.47,17.43
2023-09-30,23.58,$1.49,15.83
2023-06-30,25.9,$1.44,17.98
2023-03-31,26.25,$1.47,17.85
2022-12-31,25.5,$1.70,15.0
2022-09-30,23.22,$1.54,15.08
2022-06-30,26.97,$1.54,17.51
2022-03-31,28.86,$1.53,18.86
2021-12-31,24.85,$1.31,18.97
2021-09-30,21.62,$1.13,19.13
2021-06-30,21.67,$0.52,41.67
2021-03-31,21.14,$0.36,58.73
2020-12-31,19.92,$-0.20,0.0
2020-09-30,18.93,$-0.79,0.0
2020-06-30,19.4,$-0.32,0.0
2020-03-31,21.13,$0.48,44.03
2019-12-31,23.4,$0.87,26.9
2019-09-30,24.97,$1.23,20.3
2019-06-30,23.87,$0.30,79.57
2019-03-31,23.58,$-0.38,0.0
2018-12-31,20.7,$-0.12,0.0
2018-09-30,20.2,$-0.23,0.0
2018-06-30,21.14,$0.76,27.82
2018-03-31,19.08,$0.55,34.7
2017-12-31,20.31,$0.39,52.08
2017-09-30,20.11,$0.82,24.53
2017-06-30,19.8,$0.86,23.03
2017-03-31,18.44,$1.09,16.92
2016-12-31,17.03,$1.00,17.03
2016-09-30,18.41,$0.92,20.01
2016-06-30,20.12,$0.82,24.53
2016-03-31,17.75,$0.62,28.63
2015-12-31,14.59,$0.91,16.04
2015-09-30,13.76,$1.21,11.37
2015-06-30,12.96,$1.33,9.75
2015-03-31,12.48,$1.69,7.39
2014-12-31,11.92,$1.69,7.05
2014-09-30,11.44,$1.68,6.81
2014-06-30,10.91,$1.74,6.27
2014-03-31,9.79,$1.72,5.69
2013-12-31,8.99,$1.70,5.29
2013-09-30,8.38,$1.65,5.08
2013-06-30,7.71,$1.55,4.97
2013-03-31,7.84,$1.55,5.06
2012-12-31,6.59,$1.38,4.78
2012-09-30,6.68,$1.00,6.68
2012-06-30,6.43,$1.06,6.07
2012-03-31,6.27,$0.97,6.46
2011-12-31,6.07,$1.03,5.89
2011-09-30,5.39,$1.10,4.9
2011-06-30,5.05,$1.10,4.59
2011-03-31,4.73,$1.06,4.46
2010-12-31,4.29,$1.05,4.09
2010-09-30,4.18,$1.25,3.35
2010-06-30,3.44,$1.07,3.21
2010-03-31,3.69,$0.95,3.89
2009-12-31,3.54,$0.78,4.54
