Verrica Pharmaceuticals PE Ratio Historical Data,Verrica Pharmaceuticals PE Ratio Historical Data,Verrica Pharmaceuticals PE Ratio Historical Data,Verrica Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.61,,0.0
2024-12-31,0.7,$-1.30,0.0
2024-09-30,1.45,$-1.83,0.0
2024-06-30,7.29,$-1.88,0.0
2024-03-31,5.92,$-1.75,0.0
2023-12-31,7.32,$-1.46,0.0
2023-09-30,3.89,$-1.07,0.0
2023-06-30,5.77,$-0.53,0.0
2023-03-31,6.5,$-0.66,0.0
2022-12-31,2.75,$-0.82,0.0
2022-09-30,2.92,$-1.03,0.0
2022-06-30,1.92,$-1.50,0.0
2022-03-31,8.11,$-1.56,0.0
2021-12-31,9.16,$-1.29,0.0
2021-09-30,12.5,$-1.46,0.0
2021-06-30,11.3,$-1.41,0.0
2021-03-31,15.15,$-1.36,0.0
2020-12-31,11.51,$-1.71,0.0
2020-09-30,7.74,$-1.50,0.0
2020-06-30,11.01,$-1.32,0.0
2020-03-31,10.93,$-1.22,0.0
2019-12-31,15.89,$-1.13,0.0
2019-09-30,14.76,$-1.12,0.0
2019-06-30,11.62,$-1.15,0.0
2019-03-31,10.81,$-1.91,0.0
