Leidos Holdings PE Ratio Historical Data,Leidos Holdings PE Ratio Historical Data,Leidos Holdings PE Ratio Historical Data,Leidos Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,134.85,,14.59
2024-12-31,144.06,$9.24,15.59
2024-09-30,162.57,$8.78,18.52
2024-06-30,145.14,$3.19,45.5
2024-03-31,130.08,$2.32,56.07
2023-12-31,107.09,$1.42,75.42
2023-09-30,90.86,$1.04,87.37
2023-06-30,86.91,$5.12,16.97
2023-03-31,90.03,$4.86,18.53
2022-12-31,102.48,$4.94,20.74
2022-09-30,84.93,$4.89,17.37
2022-06-30,97.41,$5.15,18.91
2022-03-31,104.09,$5.09,20.45
2021-12-31,85.37,$5.26,16.23
2021-09-30,91.94,$5.40,17.03
2021-06-30,96.32,$5.10,18.89
2021-03-31,91.44,$4.98,18.36
2020-12-31,99.48,$4.36,22.82
2020-09-30,84.09,$4.25,19.79
2020-06-30,88.02,$4.23,20.81
2020-03-31,85.82,$4.10,20.93
2019-12-31,91.32,$4.59,19.9
2019-09-30,79.82,$4.58,17.43
2019-06-30,73.93,$4.43,16.69
2019-03-31,59.09,$4.44,13.31
2018-12-31,48.36,$3.81,12.69
2018-09-30,63.09,$3.30,19.12
2018-06-30,53.58,$2.87,18.67
2018-03-31,59.08,$2.57,22.99
2017-12-31,58.06,$2.38,24.4
2017-09-30,52.99,$2.03,26.1
2017-06-30,45.99,$2.30,20.0
2017-03-31,45.24,$2.21,20.47
2016-12-31,44.97,$2.40,18.74
2016-09-30,37.82,$3.73,10.14
2016-06-30,30.66,$3.60,8.52
2016-03-31,32.01,$3.55,9.02
2015-12-31,35.55,$3.44,10.33
2015-09-30,25.77,$1.72,14.98
2015-06-30,24.99,$1.05,23.8
2015-03-31,25.77,$0.55,46.86
2015-01-31,25.43,0,0.0
2014-10-31,22.29,0,0.0
2014-07-31,22.31,0,0.0
2014-04-30,22.3,0,0.0
2014-01-31,26.92,0,0.0
2013-10-31,27.77,0,0.0
2013-07-31,35.81,0,0.0
2013-04-30,32.32,0,0.0
2013-01-31,25.95,0,0.0
2012-10-31,23.34,0,0.0
2012-07-31,24.31,0,0.0
2012-04-30,25.28,0,0.0
2012-01-31,26.23,0,0.0
2011-10-31,25.35,0,0.0
2011-07-31,32.7,0,0.0
2011-04-30,35.49,0,0.0
2011-01-31,33.8,0,0.0
2010-10-31,31.7,0,0.0
2010-07-31,33.92,0,0.0
2010-04-30,35.51,0,0.0
2010-01-31,37.39,0,0.0
2009-10-31,36.12,0,0.0
