Asia Pacific Wire & Cable PE Ratio Historical Data,Asia Pacific Wire & Cable PE Ratio Historical Data,Asia Pacific Wire & Cable PE Ratio Historical Data,Asia Pacific Wire & Cable PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.53,,4.94
2024-09-30,1.55,$0.31,5.0
2019-03-31,2.34,$0.33,7.09
2018-03-31,2.55,$0.38,6.71
2017-03-31,2.58,$0.19,13.57
2016-03-31,1.73,$-0.16,0.0
2015-12-31,1.43,$-0.18,0.0
2015-09-30,1.28,$-0.16,0.0
2015-06-30,2.24,$0.07,32.02
2015-03-31,2.3,$0.11,20.89
2014-12-31,2.45,$0.04,61.19
2014-09-30,2.34,$0.22,10.61
2014-06-30,2.37,$0.30,7.91
2014-03-31,2.56,$0.29,8.83
2013-12-31,3.12,$0.42,7.44
2013-09-30,3.49,$0.59,5.91
2013-06-30,3.26,$0.50,6.53
2013-03-31,3.76,$0.79,4.76
2012-12-31,3.14,$0.79,3.98
2012-09-30,2.72,$0.42,6.47
2012-06-30,2.63,$0.29,9.05
2012-03-31,3.24,$0.14,23.18
2011-12-31,2.63,$0.28,9.38
2011-09-30,2.67,$0.50,5.34
2011-06-30,3.99,$0.85,4.69
2011-03-31,4.5,$0.95,4.74
2010-12-31,5.72,$1.02,5.61
2010-09-30,4.59,$0.80,5.74
