Equity Bancshares PE Ratio Historical Data,Equity Bancshares PE Ratio Historical Data,Equity Bancshares PE Ratio Historical Data,Equity Bancshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,40.27,,10.12
2024-12-31,42.42,$3.98,10.66
2024-09-30,40.88,$1.10,37.16
2024-06-30,35.07,$0.62,56.57
2024-03-31,34.13,$0.60,56.88
2023-12-31,33.54,$0.47,71.37
2023-09-30,23.73,$3.03,7.83
2023-06-30,22.35,$3.16,7.07
2023-03-31,23.81,$3.36,7.09
2022-12-31,31.78,$3.52,9.03
2022-09-30,28.74,$3.41,8.43
2022-06-30,28.19,$3.28,8.59
2022-03-31,31.15,$3.37,9.24
2021-12-31,32.63,$3.46,9.43
2021-09-30,32.02,$3.69,8.68
2021-06-30,29.18,$-3.12,0.0
2021-03-31,26.22,$-4.04,0.0
2020-12-31,20.66,$-4.98,0.0
2020-09-30,14.83,$-5.18,0.0
2020-06-30,16.69,$1.49,11.2
2020-03-31,16.51,$1.96,8.42
2019-12-31,29.55,$1.62,18.24
2019-09-30,25.66,$1.60,16.04
2019-06-30,25.52,$1.58,16.15
2019-03-31,27.56,$1.44,19.14
2018-12-31,33.74,$2.28,14.8
2018-09-30,37.57,$1.97,19.07
2018-06-30,39.7,$1.74,22.82
2018-03-31,37.48,$1.81,20.71
2017-12-31,33.89,$1.63,20.79
2017-09-30,34.05,$1.36,25.04
2017-06-30,29.32,$1.27,23.09
2017-03-31,30.41,$1.10,27.64
2016-12-31,32.2,$1.11,29.01
2016-09-30,24.83,$1.41,17.61
