Brookfield Infrastructure Partners LP PE Ratio Historical Data,Brookfield Infrastructure Partners LP PE Ratio Historical Data,Brookfield Infrastructure Partners LP PE Ratio Historical Data,Brookfield Infrastructure Partners LP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,28.75,,0.0
2024-09-30,34.64,$-0.38,0.0
2024-06-30,26.79,$-0.17,0.0
2024-03-31,30.05,$0.31,96.93
2023-12-31,29.88,$0.14,213.43
2023-09-30,27.49,$0.31,88.68
2023-06-30,33.72,$0.33,102.19
2023-03-31,30.87,$0.08,385.89
2022-12-31,28.01,$0.14,204.9
2022-09-30,32.13,$0.26,123.6
2022-06-30,33.92,$0.69,49.16
2022-03-31,38.84,$0.97,40.18
2021-12-31,35.34,$1.16,30.46
2021-09-30,32.32,$1.45,22.24
2021-06-30,31.71,$0.89,35.49
2021-03-31,30.11,$0.35,86.85
2020-12-31,27.66,$0.25,109.16
2020-09-30,26.41,$-0.18,0.0
2020-06-30,22.55,$-0.05,0.0
2020-03-31,19.5,$0.17,116.99
2019-12-31,23.97,$0.05,513.17
2019-09-30,23.56,$0.13,176.59
2019-06-30,20.17,$0.02,1008.71
2019-03-31,19.44,$0.08,242.96
2018-12-31,15.83,$0.39,40.25
2018-09-30,18.28,$0.41,44.24
2018-06-30,17.4,$0.45,38.38
2018-03-31,18.64,$0.27,68.19
2017-12-31,19.82,$-0.03,0.0
2017-09-30,18.9,$0.18,104.99
2017-06-30,17.74,$0.31,56.62
2017-03-31,16.59,$0.62,26.95
2016-12-31,14.19,$0.75,19.01
2016-09-30,14.52,$0.50,29.16
2016-06-30,12.49,$0.60,20.98
2016-03-31,11.47,$0.34,33.97
2015-12-31,10.17,$0.48,21.38
2015-09-30,9.74,$0.58,16.72
2015-06-30,11.66,$0.51,23.02
2015-03-31,11.76,$0.51,23.21
2014-12-31,10.69,$0.30,35.37
2014-09-30,9.59,$-0.25,0.0
2014-06-30,10.41,$-0.32,0.0
2014-03-31,9.73,$-0.06,0.0
2013-12-31,9.55,$-0.18,0.0
2013-09-30,9.15,$0.35,26.4
2013-06-30,8.68,$0.45,19.34
2013-03-31,8.94,$0.12,74.53
2012-12-31,8.19,$0.22,37.62
2012-09-30,8.17,$0.25,32.84
2012-06-30,7.64,$0.27,28.64
2012-03-31,7.1,$0.40,17.56
2011-12-31,6.15,$0.51,12.03
2011-09-30,5.33,$1.92,2.77
2011-06-30,5.41,$1.30,4.16
2011-03-31,4.69,$1.52,3.09
2010-12-31,4.38,$1.38,3.17
2010-09-30,3.98,$-0.21,0.0
2010-06-30,3.21,$0.19,17.18
2010-03-31,3.43,$0.71,4.86
2009-12-31,3.22,$0.61,5.29
