Liberty Global PE Ratio Historical Data,Liberty Global PE Ratio Historical Data,Liberty Global PE Ratio Historical Data,Liberty Global PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.83,,0.0
2024-09-30,9.49,$-2.93,0.0
2024-06-30,9.62,$-0.42,0.0
2024-03-31,6.99,$-0.03,0.0
2023-12-31,7.34,$-0.26,0.0
2023-09-30,8.16,$0.82,9.95
2023-06-30,8.62,$0.91,9.47
2023-03-31,8.26,$-1.36,0.0
2022-12-31,7.6,$-0.77,0.0
2022-09-30,6.15,$-3.98,0.0
2022-06-30,7.79,$-4.03,0.0
2022-03-31,9.59,$-1.91,0.0
2021-12-31,11.4,$-1.90,0.0
2021-09-30,13.12,$0.60,21.87
2021-06-30,14.1,$-0.19,0.0
2021-03-31,12.98,$-2.36,0.0
2020-12-31,11.09,$-3.72,0.0
2020-09-30,8.14,$-3.37,0.0
2020-06-30,9.44,$-2.72,0.0
2020-03-31,10.26,$-1.21,0.0
2019-12-31,19.46,$-0.45,0.0
2019-09-30,17.1,$-1.98,0.0
2019-06-30,17.19,$-2.32,0.0
2019-03-31,19.45,$-1.93,0.0
2018-12-31,14.57,$-1.96,0.0
2018-09-30,20.63,$-2.59,0.0
2018-06-30,19.38,$-2.66,0.0
2018-03-31,19.09,$-2.57,0.0
2017-09-30,23.3,$-2.38,0.0
2017-06-30,21.41,$-0.92,0.0
2017-03-31,23.04,$-2.74,0.0
2016-12-31,21.17,$-3.46,0.0
2016-09-30,28.05,$-3.69,0.0
2016-06-30,32.49,$-2.53,0.0
