Newmont PE Ratio Historical Data,Newmont PE Ratio Historical Data,Newmont PE Ratio Historical Data,Newmont PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,47.76,,16.3
2024-12-31,37.22,$2.93,12.7
2024-09-30,53.13,$-1.52,0.0
2024-06-30,41.42,$-2.12,0.0
2024-03-31,35.46,$-2.67,0.0
2023-12-31,40.64,$-2.38,0.0
2023-09-30,35.93,$-1.03,0.0
2023-06-30,41.05,$-0.96,0.0
2023-03-31,46.71,$-0.66,0.0
2022-12-31,44.56,$-0.54,0.0
2022-09-30,39.22,$1.26,31.13
2022-06-30,54.97,$0.99,55.52
2022-03-31,72.59,$1.31,55.41
2021-12-31,56.26,$1.45,38.8
2021-09-30,48.78,$2.53,19.28
2021-06-30,56.4,$3.57,15.8
2021-03-31,53.23,$3.19,16.69
2020-12-31,52.37,$3.51,14.92
2020-09-30,55.11,$3.18,17.33
2020-06-30,53.43,$4.79,11.15
2020-03-31,39.01,$4.33,9.01
2019-12-31,37.33,$3.47,10.76
2019-09-30,32.47,$2.78,11.68
2019-06-30,32.82,$-0.14,0.0
2019-03-31,29.64,$0.43,68.93
2018-12-31,28.59,$0.63,45.39
2018-09-30,24.81,$-0.35,0.0
2018-06-30,30.84,$0.30,102.81
2018-03-31,31.84,$0.09,353.77
2017-12-31,30.46,$-0.18,0.0
2017-09-30,30.39,$0.15,202.61
2017-06-30,26.19,$-0.90,0.0
2017-03-31,26.61,$-1.19,0.0
2016-12-31,27.47,$-1.18,0.0
2016-09-30,31.63,$-1.03,0.0
2016-06-30,31.47,$0.06,524.55
2016-03-31,21.37,$0.16,133.56
2015-12-31,14.45,$0.43,33.6
2015-09-30,12.89,$0.96,13.43
2015-06-30,18.71,$0.97,19.29
2015-03-31,17.37,$1.19,14.6
2014-12-31,15.1,$1.02,14.81
2014-09-30,18.4,$-1.34,0.0
2014-06-30,20.28,$-0.95,0.0
2014-03-31,18.67,$-5.37,0.0
2013-12-31,18.23,$-4.94,0.0
2013-09-30,22.06,$-1.25,0.0
2013-06-30,23.32,$-1.33,0.0
2013-03-31,32.29,$3.29,9.81
2012-12-31,35.41,$3.63,9.75
2012-09-30,42.38,$0.22,192.63
2012-06-30,36.44,$0.46,79.22
2012-03-31,38.25,$0.68,56.25
2011-12-31,44.49,$0.74,60.12
2011-09-30,46.42,$4.40,10.55
2011-06-30,39.62,$4.49,8.82
2011-03-31,39.91,$4.48,8.91
2010-12-31,44.79,$4.56,9.82
2010-09-30,45.69,$4.08,11.2
2010-06-30,44.8,$3.80,11.79
2010-03-31,36.89,$3.36,10.98
2009-12-31,34.2,$2.65,12.91
