MGE Energy PE Ratio Historical Data,MGE Energy PE Ratio Historical Data,MGE Energy PE Ratio Historical Data,MGE Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,92.56,,27.8
2024-12-31,93.96,$3.33,28.22
2024-09-30,91.06,$3.27,27.85
2024-06-30,74.01,$3.19,23.2
2024-03-31,77.56,$3.32,23.36
2023-12-31,70.77,$3.25,21.77
2023-09-30,66.66,$3.28,20.32
2023-06-30,76.53,$3.16,24.22
2023-03-31,74.71,$2.97,25.15
2022-12-31,67.33,$3.06,22.0
2022-09-30,62.41,$2.84,21.98
2022-06-30,73.63,$2.88,25.56
2022-03-31,75.11,$2.91,25.81
2021-12-31,77.01,$2.93,26.28
2021-09-30,68.46,$3.01,22.74
2021-06-30,69.0,$2.92,23.63
2021-03-31,65.85,$2.82,23.35
2020-12-31,64.22,$2.60,24.7
2020-09-30,57.15,$2.64,21.65
2020-06-30,58.51,$2.64,22.16
2020-03-31,59.07,$2.56,23.08
2019-12-31,70.79,$2.50,28.31
2019-09-30,71.41,$2.49,28.68
2019-06-30,65.03,$2.46,26.44
2019-03-31,60.18,$2.54,23.69
2018-12-31,52.81,$2.43,21.73
2018-09-30,56.23,$3.00,18.74
2018-06-30,55.24,$2.92,18.92
2018-03-31,48.89,$2.84,17.21
2017-12-31,54.65,$2.82,19.38
2017-09-30,55.68,$2.20,25.31
2017-06-30,55.19,$2.23,24.75
2017-03-31,55.48,$2.25,24.66
2016-12-31,55.47,$2.18,25.45
2016-09-30,47.77,$2.08,22.96
2016-06-30,47.5,$2.10,22.62
2016-03-31,43.67,$2.02,21.62
2015-12-31,38.55,$2.06,18.71
2015-09-30,33.99,$2.18,15.59
2015-06-30,31.71,$2.03,15.62
2015-03-31,36.03,$2.05,17.58
2014-12-31,36.84,$2.32,15.88
2014-09-30,29.9,$2.29,13.06
2014-06-30,31.49,$2.32,13.57
2014-03-31,31.04,$2.31,13.44
2013-12-31,30.23,$2.16,13.97
2013-09-30,28.36,$2.06,13.77
2013-06-30,28.26,$2.04,13.85
2013-03-31,28.4,$2.05,13.83
2012-12-31,25.91,$1.86,13.93
2012-09-30,26.73,$1.83,14.63
2012-06-30,23.68,$1.75,13.5
2012-03-31,22.03,$1.71,12.91
2011-12-31,23.01,$1.76,13.08
2011-09-30,19.83,$1.83,10.82
2011-06-30,19.59,$1.80,10.88
2011-03-31,19.39,$1.77,10.98
2010-12-31,20.29,$1.67,12.18
2010-09-30,18.62,$1.71,10.91
2010-06-30,16.78,$1.50,11.19
2010-03-31,16.29,$1.45,11.21
2009-12-31,16.29,$1.47,11.06
