Hamilton Beach Brands Holding PE Ratio Historical Data,Hamilton Beach Brands Holding PE Ratio Historical Data,Hamilton Beach Brands Holding PE Ratio Historical Data,Hamilton Beach Brands Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,19.66,,8.82
2024-12-31,16.83,$2.23,7.55
2024-09-30,30.25,$1.88,16.09
2024-06-30,17.02,$2.48,6.86
2024-03-31,24.12,$2.07,11.65
2023-12-31,17.21,$1.81,9.51
2023-09-30,12.13,$0.92,13.18
2023-06-30,9.35,$0.61,15.33
2023-03-31,9.8,$0.96,10.21
2022-12-31,11.76,$1.81,6.5
2022-09-30,11.0,$2.20,5.0
2022-06-30,11.6,$2.18,5.32
2022-03-31,10.76,$1.83,5.88
2021-12-31,13.19,$1.53,8.62
2021-09-30,14.29,$2.00,7.15
2021-06-30,20.19,$1.44,14.02
2021-03-31,16.37,$2.00,8.19
2020-12-31,15.73,$3.37,4.67
2020-09-30,17.38,$1.91,9.1
2020-06-30,10.59,$2.09,5.07
2020-03-31,8.38,$1.45,5.78
2019-12-31,16.71,$-0.26,0.0
2019-09-30,14.08,$0.92,15.31
2019-06-30,16.48,$1.48,11.14
2019-03-31,18.48,$1.49,12.4
2018-12-31,20.13,$1.59,12.66
2018-09-30,18.83,$1.51,12.47
