Summit Hotel Properties PE Ratio Historical Data,Summit Hotel Properties PE Ratio Historical Data,Summit Hotel Properties PE Ratio Historical Data,Summit Hotel Properties PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.67,,31.5
2024-12-31,6.85,$0.18,38.06
2024-09-30,6.77,$0.01,677.25
2024-06-30,5.84,0,0.0
2024-03-31,6.27,$-0.24,0.0
2023-12-31,6.41,$-0.27,0.0
2023-09-30,5.48,$-0.22,0.0
2023-06-30,6.08,$-0.17,0.0
2023-03-31,6.48,$-0.09,0.0
2022-12-31,6.66,$-0.16,0.0
2022-09-30,6.16,$-0.20,0.0
2022-06-30,6.64,$-0.30,0.0
2022-03-31,9.1,$-0.58,0.0
2021-12-31,8.91,$-0.80,0.0
2021-09-30,8.8,$-1.10,0.0
2021-06-30,8.52,$-1.37,0.0
2021-03-31,9.28,$-1.68,0.0
2020-12-31,8.23,$-1.52,0.0
2020-09-30,4.73,$-1.02,0.0
2020-06-30,5.42,$-0.58,0.0
2020-03-31,3.85,$0.37,10.42
2019-12-31,11.1,$0.64,17.34
2019-09-30,10.28,$0.61,16.85
2019-06-30,10.0,$0.87,11.49
2019-03-31,9.8,$0.77,12.73
2018-12-31,8.23,$0.69,11.92
2018-09-30,11.25,$0.69,16.31
2018-06-30,11.75,$0.53,22.16
2018-03-31,11.03,$0.50,22.07
2017-12-31,12.2,$0.80,15.24
2017-09-30,12.66,$0.82,15.44
2017-06-30,14.6,$0.90,16.22
2017-03-31,12.38,$0.80,15.48
2016-12-31,12.29,$1.00,12.29
2016-09-30,9.98,$1.88,5.31
2016-06-30,9.95,$1.74,5.72
2016-03-31,8.9,$1.68,5.3
2015-12-31,8.77,$1.24,7.07
2015-09-30,8.49,$0.33,25.73
2015-06-30,9.37,$0.27,34.72
2015-03-31,10.05,$0.19,52.89
2014-12-31,8.8,$0.11,80.03
2014-09-30,7.55,$0.03,251.74
2014-06-30,7.35,$-0.09,0.0
2014-03-31,6.36,$-0.11,0.0
2013-12-31,6.09,$-0.11,0.0
2013-09-30,6.14,$-0.08,0.0
2013-06-30,6.24,0,0.0
2013-03-31,6.84,$-0.08,0.0
2012-12-31,6.14,$-0.18,0.0
2012-09-30,5.44,$-0.20,0.0
2012-06-30,5.26,$-0.21,0.0
2012-03-31,4.7,$-0.15,0.0
2011-12-31,5.79,$-0.25,0.0
