LTC Properties PE Ratio Historical Data,LTC Properties PE Ratio Historical Data,LTC Properties PE Ratio Historical Data,LTC Properties PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,35.05,,17.1
2024-12-31,34.55,$2.05,16.85
2024-09-30,36.32,$2.33,15.59
2024-06-30,33.62,$2.21,15.21
2024-03-31,31.14,$1.92,16.22
2023-12-31,30.23,$2.16,14.0
2023-09-30,29.71,$1.93,15.39
2023-06-30,30.01,$1.71,17.55
2023-03-31,31.39,$2.92,10.75
2022-12-31,31.24,$2.48,12.6
2022-09-30,32.44,$2.36,13.74
2022-06-30,32.79,$2.32,14.14
2022-03-31,32.36,$1.42,22.79
2021-12-31,28.26,$1.41,20.04
2021-09-30,25.8,$1.54,16.75
2021-06-30,30.75,$1.57,19.59
2021-03-31,32.95,$1.16,28.41
2020-12-31,30.31,$2.41,12.58
2020-09-30,26.74,$2.27,11.78
2020-06-30,28.45,$2.64,10.78
2020-03-31,22.96,$3.10,7.41
2019-12-31,32.78,$2.01,16.31
2019-09-30,37.06,$2.47,15.0
2019-06-30,32.65,$2.67,12.23
2019-03-31,32.34,$3.89,8.31
2018-12-31,29.06,$3.89,7.47
2018-09-30,30.36,$3.62,8.39
2018-06-30,29.04,$3.26,8.91
2018-03-31,25.44,$2.17,11.73
2017-12-31,28.74,$2.20,13.06
2017-09-30,30.62,$2.23,13.73
2017-06-30,33.1,$2.28,14.52
2017-03-31,30.5,$2.22,13.74
2016-12-31,29.55,$2.21,13.37
2016-09-30,32.31,$2.16,14.96
2016-06-30,31.82,$2.11,15.08
2016-03-31,27.51,$2.01,13.69
2015-12-31,25.91,$1.95,13.29
2015-09-30,25.3,$2.04,12.4
2015-06-30,24.38,$1.98,12.31
2015-03-31,26.64,$2.00,13.32
2014-12-31,24.72,$1.99,12.42
2014-09-30,20.87,$1.82,11.46
2014-06-30,21.8,$1.83,11.91
2014-03-31,20.74,$1.69,12.27
2013-12-31,19.24,$1.63,11.8
2013-09-30,20.37,$1.62,12.57
2013-06-30,20.69,$1.53,13.52
2013-03-31,21.35,$1.57,13.6
2012-12-31,18.22,$1.57,11.61
2012-09-30,16.26,$1.57,10.36
2012-06-30,18.28,$1.57,11.64
2012-03-31,15.91,$1.54,10.33
2011-12-31,15.13,$1.34,11.29
2011-09-30,12.23,$1.32,9.27
2011-06-30,13.23,$1.16,11.4
2011-03-31,13.27,$1.12,11.85
2010-12-31,12.96,$1.21,10.71
2010-09-30,11.6,$1.15,10.09
2010-06-30,10.79,$1.25,8.63
2010-03-31,11.86,$1.21,9.8
2009-12-31,11.55,$1.26,9.17
