Everest Group PE Ratio Historical Data,Everest Group PE Ratio Historical Data,Everest Group PE Ratio Historical Data,Everest Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,354.8,,11.3
2024-12-31,362.46,$31.41,11.54
2024-09-30,389.83,$63.90,6.1
2024-06-30,377.13,$67.73,5.57
2024-03-31,393.45,$67.29,5.85
2023-12-31,348.4,$59.73,5.83
2023-09-30,364.66,$53.86,6.77
2023-06-30,333.89,$30.01,11.13
2023-03-31,348.04,$16.86,20.64
2022-12-31,320.47,$15.11,21.21
2022-09-30,252.61,$13.39,18.87
2022-06-30,268.16,$19.73,13.59
2022-03-31,286.62,$33.57,8.54
2021-12-31,259.07,$34.53,7.5
2021-09-30,235.76,$25.18,9.36
2021-06-30,235.57,$33.13,7.11
2021-03-31,230.24,$20.95,10.99
2020-12-31,216.17,$12.84,16.84
2020-09-30,181.2,$16.57,10.94
2020-06-30,187.81,$13.06,14.38
2020-03-31,173.93,$16.68,10.43
2019-12-31,248.64,$24.81,10.02
2019-09-30,237.6,$9.99,23.78
2019-06-30,219.44,$12.45,17.63
2019-03-31,190.63,$5.76,33.1
2018-12-31,192.22,$2.33,82.5
2018-09-30,200.37,$25.68,7.8
2018-06-30,200.95,$4.93,40.76
2018-03-31,222.63,$9.18,24.25
2017-12-31,190.83,$11.14,17.13
2017-09-30,195.85,$6.37,30.75
2017-06-30,217.22,$29.16,7.45
2017-03-31,198.49,$26.88,7.38
2016-12-31,182.73,$23.81,7.67
2016-09-30,159.46,$22.99,6.94
2016-06-30,152.42,$17.93,8.5
2016-03-31,163.68,$18.94,8.64
2015-12-31,150.9,$22.13,6.82
2015-09-30,141.98,$21.34,6.65
2015-06-30,148.25,$25.34,5.85
2015-03-31,140.99,$26.92,5.24
2014-12-31,137.26,$25.94,5.29
2014-09-30,129.86,$26.01,4.99
2014-06-30,128.05,$24.82,5.16
2014-03-31,121.54,$24.12,5.04
2013-12-31,123.16,$25.41,4.85
2013-09-30,114.35,$19.00,6.02
2013-06-30,100.51,$19.01,5.29
2013-03-31,101.39,$17.53,5.78
2012-12-31,85.51,$15.71,5.44
2012-09-30,82.81,$15.34,5.4
2012-06-30,79.75,$11.68,6.83
2012-03-31,70.96,$10.01,7.09
2011-12-31,64.15,$-1.48,0.0
2011-09-30,60.22,$3.27,18.42
2011-06-30,61.65,$5.22,11.81
2011-03-31,66.15,$5.51,12.0
2010-12-31,63.27,$10.94,5.78
2010-09-30,64.14,$8.71,7.36
2010-06-30,52.14,$9.35,5.58
2010-03-31,59.28,$11.08,5.35
2009-12-31,62.4,$13.23,4.72
