Phoenix New Media PE Ratio Historical Data,Phoenix New Media PE Ratio Historical Data,Phoenix New Media PE Ratio Historical Data,Phoenix New Media PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.28,,0.0
2024-09-30,3.19,$-0.49,0.0
2024-06-30,2.71,$-0.51,0.0
2024-03-31,1.94,$-0.81,0.0
2023-12-31,1.36,$-1.20,0.0
2023-09-30,1.26,$-0.79,0.0
2023-06-30,1.97,$-0.27,0.0
2023-03-31,2.28,$-1.09,0.0
2022-12-31,2.68,$-1.42,0.0
2022-09-30,4.71,$-2.40,0.0
2022-06-30,5.0,$-4.42,0.0
2022-03-31,3.36,$-3.36,0.0
2021-12-31,5.17,$-2.70,0.0
2021-09-30,7.68,$3.54,2.17
2021-06-30,9.3,$5.28,1.76
2021-03-31,10.62,$5.22,2.03
2020-12-31,7.2,$4.68,1.54
2020-09-30,3.56,$9.72,0.37
2020-06-30,4.29,$9.78,0.44
2020-03-31,3.59,$9.12,0.39
2019-12-31,5.68,$8.52,0.67
2019-09-30,4.46,$-2.76,0.0
2019-06-30,5.66,$-3.00,0.0
2019-03-31,7.34,$-1.56,0.0
2018-12-31,5.58,$-0.84,0.0
2018-09-30,7.35,$-0.24,0.0
2018-06-30,7.41,$0.36,20.57
2018-03-31,7.58,$0.06,126.33
2017-12-31,11.31,$0.42,26.93
2017-09-30,10.26,$0.78,13.16
2017-06-30,4.58,$0.78,5.88
2017-03-31,6.08,$0.42,14.48
2016-12-31,5.47,$0.96,5.7
2016-09-30,6.8,$1.02,6.66
2016-06-30,6.41,$0.90,7.13
2016-03-31,7.75,$1.26,6.16
2015-12-31,10.49,$0.96,10.93
2015-09-30,7.63,$1.02,7.48
2015-06-30,13.8,$1.62,8.52
2015-03-31,9.88,$2.40,4.12
2014-12-31,14.48,$3.36,4.31
2014-09-30,16.29,$3.84,4.24
2014-06-30,18.66,$3.96,4.71
2014-03-31,18.07,$3.84,4.71
2013-12-31,16.78,$3.54,4.74
2013-09-30,19.6,$2.82,6.95
2013-06-30,9.57,$1.92,4.98
2013-03-31,7.25,$1.38,5.25
2012-12-31,6.34,$1.26,5.04
2012-09-30,5.96,$1.32,4.52
2012-06-30,8.33,$1.86,4.48
2012-03-31,12.81,$-3.96,0.0
