Rocky Brands PE Ratio Historical Data,Rocky Brands PE Ratio Historical Data,Rocky Brands PE Ratio Historical Data,Rocky Brands PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,18.12,,20.83
2024-12-31,22.8,$0.87,26.21
2024-09-30,31.64,$1.78,17.78
2024-06-30,36.52,$2.01,18.17
2024-03-31,26.7,$1.81,14.75
2023-12-31,29.53,$1.42,20.79
2023-09-30,14.3,$1.40,10.22
2023-06-30,20.26,$1.24,16.34
2023-03-31,22.08,$1.73,12.76
2022-12-31,22.47,$2.77,8.11
2022-09-30,18.98,$3.57,5.32
2022-06-30,32.15,$2.75,11.69
2022-03-31,38.96,$3.15,12.37
2021-12-31,37.13,$2.77,13.41
2021-09-30,44.22,$2.41,18.35
2021-06-30,51.48,$3.50,14.71
2021-03-31,49.93,$3.31,15.09
2020-12-31,25.85,$2.86,9.04
2020-09-30,22.76,$2.21,10.3
2020-06-30,18.74,$1.92,9.76
2020-03-31,17.52,$2.01,8.71
2019-12-31,26.49,$2.33,11.37
2019-09-30,29.76,$2.13,13.97
2019-06-30,24.31,$2.05,11.86
2019-03-31,21.23,$1.98,10.72
2018-12-31,22.95,$1.94,11.83
2018-09-30,24.98,$2.05,12.18
2018-06-30,26.37,$1.68,15.7
2018-03-31,18.77,$1.53,12.27
2017-12-31,16.44,$1.29,12.75
2017-09-30,11.59,$0.61,19.0
2017-06-30,11.54,$0.37,31.2
2017-03-31,9.84,$-0.06,0.0
2016-12-31,9.74,$-0.29,0.0
2016-09-30,8.83,$-0.02,0.0
2016-06-30,9.44,$0.16,58.98
2016-03-31,10.42,$0.65,16.04
2015-12-31,9.37,$0.87,10.77
2015-09-30,11.39,$1.28,8.9
2015-06-30,14.92,$1.46,10.22
2015-03-31,17.13,$1.40,12.24
2014-12-31,10.59,$1.31,8.09
2014-09-30,11.04,$0.96,11.5
2014-06-30,11.08,$0.93,11.91
2014-03-31,11.13,$0.97,11.47
2013-12-31,11.19,$0.99,11.3
2013-09-30,13.28,$1.09,12.18
2013-06-30,11.47,$1.42,8.08
2013-03-31,10.26,$1.21,8.48
2012-12-31,9.83,$1.19,8.26
2012-09-30,8.71,$0.89,9.78
2012-06-30,9.94,$0.87,11.43
2012-03-31,10.28,$1.14,9.02
2011-12-31,6.8,$1.11,6.12
2011-09-30,7.48,$1.48,5.05
2011-06-30,9.3,$1.41,6.6
2011-03-31,11.52,$1.19,9.68
2010-12-31,7.56,$1.02,7.41
2010-09-30,5.7,$0.77,7.4
2010-06-30,4.82,$0.64,7.53
2010-03-31,7.19,$0.31,23.2
2009-12-31,5.74,$0.21,27.35
