California Water Service Group PE Ratio Historical Data,California Water Service Group PE Ratio Historical Data,California Water Service Group PE Ratio Historical Data,California Water Service Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,46.21,,14.13
2024-12-31,45.33,$3.27,13.86
2024-09-30,53.92,$3.46,15.58
2024-06-30,47.97,$3.03,15.83
2024-03-31,45.73,$2.50,18.29
2023-12-31,50.73,$0.89,57.0
2023-09-30,46.04,$0.72,63.94
2023-06-30,49.99,$1.15,43.47
2023-03-31,56.1,$1.34,41.86
2022-12-31,58.21,$1.76,33.07
2022-09-30,50.36,$1.48,34.03
2022-06-30,52.88,$1.65,32.05
2022-03-31,56.15,$2.04,27.52
2021-12-31,67.78,$1.96,34.58
2021-09-30,55.39,$2.20,25.18
2021-06-30,52.02,$2.94,17.69
2021-03-31,52.56,$2.30,22.85
2020-12-31,50.2,$1.94,25.88
2020-09-30,40.19,$1.87,21.49
2020-06-30,43.93,$0.81,54.23
2020-03-31,46.12,$1.05,43.93
2019-12-31,47.08,$1.31,35.94
2019-09-30,48.14,$1.39,34.63
2019-06-30,45.88,$1.23,37.3
2019-03-31,49.19,$1.15,42.77
2018-12-31,43.02,$1.26,34.15
2018-09-30,38.56,$1.23,31.35
2018-06-30,34.85,$1.21,28.8
2018-03-31,33.17,$1.33,24.94
2017-12-31,40.19,$1.40,28.71
2017-09-30,33.67,$1.42,23.71
2017-06-30,32.32,$1.20,26.94
2017-03-31,31.33,$1.05,29.83
2016-12-31,29.47,$1.01,29.17
2016-09-30,27.74,$0.88,31.52
2016-06-30,30.03,$0.92,32.64
2016-03-31,22.83,$0.89,25.66
2015-12-31,19.74,$0.94,21.0
2015-09-30,18.63,$1.00,18.63
2015-06-30,19.09,$1.18,16.18
2015-03-31,20.34,$1.33,15.29
2014-12-31,20.29,$1.19,17.05
2014-09-30,18.38,$1.07,17.18
2014-06-30,19.68,$0.98,20.09
2014-03-31,19.32,$0.90,21.47
2013-12-31,18.48,$0.98,18.86
2013-09-30,16.16,$0.98,16.49
2013-06-30,15.41,$1.08,14.27
2013-03-31,15.58,$1.11,14.04
2012-12-31,14.25,$1.17,12.18
2012-09-30,14.36,$1.09,13.17
2012-06-30,14.09,$0.88,16.01
2012-03-31,13.77,$0.86,16.01
2011-12-31,13.69,$0.90,15.3
2011-09-30,13.17,$0.97,13.58
2011-06-30,13.8,$0.96,14.38
2011-03-31,13.59,$0.92,14.77
2010-12-31,13.51,$0.91,14.93
2010-09-30,13.29,$0.95,14.06
2010-06-30,12.73,$0.93,13.76
2010-03-31,13.3,$0.97,13.79
2009-12-31,12.92,$0.98,13.25
