SoundHound AI PE Ratio Historical Data,SoundHound AI PE Ratio Historical Data,SoundHound AI PE Ratio Historical Data,SoundHound AI PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.59,,0.0
2024-12-31,19.84,$-0.29,0.0
2024-09-30,4.66,$-0.36,0.0
2024-06-30,3.95,$-0.39,0.0
2024-03-31,5.89,$-0.38,0.0
2023-12-31,2.12,$-0.39,0.0
2023-09-30,2.01,$-0.47,0.0
2023-06-30,4.55,$-0.53,0.0
2023-03-31,2.76,$-0.62,0.0
2022-12-31,1.77,$-2.49,0.0
2022-09-30,3.28,$-2.34,0.0
2022-06-30,2.68,$-2.19,0.0
2022-03-31,9.95,$-2.00,0.0
