Kemper PE Ratio Historical Data,Kemper PE Ratio Historical Data,Kemper PE Ratio Historical Data,Kemper PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,67.39,,13.73
2024-12-31,66.44,$4.91,13.53
2024-09-30,60.98,$4.20,14.52
2024-06-30,58.78,$0.78,75.36
2024-03-31,61.04,$-1.90,0.0
2023-12-31,47.73,$-4.25,0.0
2023-09-30,40.9,$-5.92,0.0
2023-06-30,46.66,$-4.83,0.0
2023-03-31,52.48,$-4.48,0.0
2022-12-31,47.01,$-4.72,0.0
2022-09-30,39.19,$-5.51,0.0
2022-06-30,45.21,$-5.50,0.0
2022-03-31,53.01,$-5.30,0.0
2021-12-31,54.78,$-1.96,0.0
2021-09-30,61.92,$1.16,53.38
2021-06-30,68.2,$4.17,16.36
2021-03-31,73.28,$7.05,10.39
2020-12-31,70.34,$6.15,11.44
2020-09-30,60.92,$6.54,9.32
2020-06-30,65.87,$6.62,9.95
2020-03-31,67.2,$6.55,10.26
2019-12-31,69.76,$7.95,8.78
2019-09-30,69.91,$6.20,11.28
2019-06-30,77.13,$5.69,13.56
2019-03-31,67.86,$4.58,14.82
2018-12-31,58.98,$3.25,18.15
2018-09-30,71.26,$3.86,18.46
2018-06-30,66.8,$3.38,19.76
2018-03-31,50.17,$3.36,14.93
2017-12-31,60.39,$2.33,25.92
2017-09-30,46.29,$2.22,20.85
2017-06-30,33.55,$0.98,34.23
2017-03-31,34.46,$0.35,98.45
2016-12-31,38.05,$0.32,118.91
2016-09-30,33.56,$-0.19,0.0
2016-06-30,26.27,$0.86,30.55
2016-03-31,24.89,$1.35,18.43
2015-12-31,31.04,$1.65,18.81
2015-09-30,29.29,$2.80,10.46
2015-06-30,31.73,$2.16,14.69
2015-03-31,31.85,$1.76,18.1
2014-12-31,29.33,$2.13,13.77
2014-09-30,27.56,$1.88,14.66
2014-06-30,29.55,$3.02,9.78
2014-03-31,31.18,$3.44,9.06
2013-12-31,32.34,$3.81,8.49
2013-09-30,26.41,$2.85,9.27
2013-06-30,26.74,$2.57,10.4
2013-03-31,25.27,$2.02,12.51
2012-12-31,22.69,$1.74,13.04
2012-09-30,23.43,$2.13,11.0
2012-06-30,23.28,$1.26,18.47
2012-03-31,22.74,$1.21,18.8
2011-12-31,21.76,$1.38,15.77
2011-09-30,17.68,$1.99,8.89
2011-06-30,21.68,$2.49,8.71
2011-03-31,22.38,$3.11,7.2
2010-12-31,17.64,$2.99,5.9
2010-09-30,17.37,$3.02,5.75
2010-06-30,18.07,$3.44,5.25
2010-03-31,19.64,$3.50,5.61
2009-12-31,15.29,$2.64,5.79
