MSCI Inc PE Ratio Historical Data,MSCI Inc PE Ratio Historical Data,MSCI Inc PE Ratio Historical Data,MSCI Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,565.99,,40.26
2024-12-31,600.01,$14.06,42.67
2024-09-30,581.36,$15.23,38.17
2024-06-30,479.09,$14.93,32.09
2024-03-31,555.57,$14.65,37.92
2023-12-31,559.17,$14.40,38.83
2023-09-30,505.82,$12.00,42.15
2023-06-30,461.49,$11.41,40.45
2023-03-31,548.77,$10.91,50.3
2022-12-31,454.96,$10.72,42.44
2022-09-30,411.43,$10.37,39.67
2022-06-30,401.02,$9.72,41.26
2022-03-31,488.0,$9.12,53.51
2021-12-31,593.39,$8.70,68.21
2021-09-30,588.23,$8.25,71.3
2021-06-30,514.6,$8.38,61.41
2021-03-31,404.06,$7.75,52.14
2020-12-31,429.56,$7.12,60.33
2020-09-30,342.53,$6.69,51.2
2020-06-30,319.8,$6.13,52.17
2020-03-31,276.27,$6.24,44.27
2019-12-31,246.32,$6.59,37.38
2019-09-30,207.19,$6.85,30.25
2019-06-30,226.51,$6.61,34.27
2019-03-31,188.13,$6.42,29.3
2018-12-31,139.03,$5.58,24.92
2018-09-30,166.66,$4.58,36.39
2018-06-30,154.89,$4.15,37.32
2018-03-31,139.61,$3.76,37.13
2017-12-31,117.89,$3.32,35.51
2017-09-30,108.58,$3.35,32.41
2017-06-30,95.34,$3.10,30.75
2017-03-31,89.71,$2.90,30.93
2016-12-31,72.5,$2.70,26.85
2016-09-30,76.99,$2.54,30.31
2016-06-30,70.5,$2.45,28.78
2016-03-31,67.53,$2.26,29.88
2015-12-31,65.55,$2.05,31.97
2015-09-30,53.86,$1.87,28.8
2015-06-30,55.56,$1.72,32.3
2015-03-31,55.18,$2.13,25.91
2014-12-31,42.56,$2.42,17.59
2014-09-30,42.01,$2.42,17.36
2014-06-30,40.97,$2.44,16.79
2014-03-31,38.44,$2.03,18.94
2013-12-31,39.06,$1.83,21.35
2013-09-30,35.97,$1.88,19.13
2013-06-30,29.73,$1.81,16.42
2013-03-31,30.32,$1.61,18.83
2012-12-31,27.69,$1.48,18.71
2012-09-30,31.98,$1.40,22.84
2012-06-30,30.4,$1.41,21.56
2012-03-31,32.89,$1.48,22.22
2011-12-31,29.42,$1.40,21.02
2011-09-30,27.1,$1.29,21.01
2011-06-30,33.67,$0.89,37.83
2011-03-31,32.9,$0.52,63.27
2010-12-31,34.81,$0.25,139.24
2010-11-30,30.43,0,0.0
2010-08-31,26.72,0,0.0
2010-05-31,26.49,0,0.0
2010-02-28,26.79,0,0.0
2009-11-30,27.22,0,0.0
