Reliance PE Ratio Historical Data,Reliance PE Ratio Historical Data,Reliance PE Ratio Historical Data,Reliance PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,281.5,,18.23
2024-12-31,269.26,$15.44,17.44
2024-09-30,288.22,$18.21,15.83
2024-06-30,283.51,$19.59,14.47
2024-03-31,330.54,$21.41,15.44
2023-12-31,275.69,$22.61,12.19
2023-09-30,257.55,$23.79,10.83
2023-06-30,265.78,$25.25,10.53
2023-03-31,250.19,$27.91,8.96
2022-12-31,196.51,$29.81,6.59
2022-09-30,168.58,$30.57,5.51
2022-06-30,163.45,$30.27,5.4
2022-03-31,175.66,$26.20,6.7
2021-12-31,154.69,$21.99,7.03
2021-09-30,135.23,$17.36,7.79
2021-06-30,142.67,$12.72,11.22
2021-03-31,143.39,$8.88,16.15
2020-12-31,112.24,$5.68,19.76
2020-09-30,95.14,$6.11,15.57
2020-06-30,87.99,$7.00,12.57
2020-03-31,80.67,$8.45,9.55
2019-12-31,109.5,$10.33,10.6
2019-09-30,90.68,$9.11,9.95
2019-06-30,86.1,$8.74,9.85
2019-03-31,81.6,$9.21,8.86
2018-12-31,63.94,$8.71,7.34
2018-09-30,76.16,$11.58,6.58
2018-06-30,77.72,$10.87,7.15
2018-03-31,75.72,$9.11,8.31
2017-12-31,75.34,$8.33,9.05
2017-09-30,66.49,$5.08,13.09
2017-06-30,63.16,$4.44,14.23
2017-03-31,68.99,$4.42,15.61
2016-12-31,68.2,$4.17,16.36
2016-09-30,61.43,$4.27,14.39
2016-06-30,65.21,$4.28,15.24
2016-03-31,58.36,$4.10,14.23
2015-12-31,48.55,$4.13,11.75
2015-09-30,44.97,$4.37,10.29
2015-06-30,50.03,$4.89,10.23
2015-03-31,50.21,$4.91,10.23
2014-12-31,50.01,$4.72,10.6
2014-09-30,55.54,$4.33,12.83
2014-06-30,59.55,$4.34,13.72
2014-03-31,56.81,$4.17,13.62
2013-12-31,60.67,$4.15,14.62
2013-09-30,58.35,$4.42,13.2
2013-06-30,51.97,$4.50,11.55
2013-03-31,56.16,$4.89,11.49
2012-12-31,48.35,$5.34,9.05
2012-09-30,40.58,$5.19,7.82
2012-06-30,38.96,$5.02,7.76
2012-03-31,43.44,$4.89,8.88
2011-12-31,37.34,$4.58,8.15
2011-09-30,26.01,$4.20,6.19
2011-06-30,37.86,$3.72,10.18
2011-03-31,43.95,$3.24,13.56
2010-12-31,38.78,$2.61,14.86
2010-09-30,31.45,$3.33,9.44
2010-06-30,27.31,$3.25,8.4
2010-03-31,37.11,$2.34,15.86
2009-12-31,32.51,$2.01,16.17
