Bleuacacia Ltd PE Ratio Historical Data,Bleuacacia Ltd PE Ratio Historical Data,Bleuacacia Ltd PE Ratio Historical Data,Bleuacacia Ltd PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-11-05,11.03,,0.0
2024-03-31,10.65,$-0.00,0.0
2023-12-31,10.75,$0.13,82.69
2023-09-30,10.5,$0.19,55.26
2023-06-30,10.26,$0.23,44.61
2023-03-31,10.22,$0.16,63.88
2022-12-31,10.06,$0.07,143.71
