"LAZYDAYS HOLDINGS, INC PE Ratio Historical Data","LAZYDAYS HOLDINGS, INC PE Ratio Historical Data","LAZYDAYS HOLDINGS, INC PE Ratio Historical Data","LAZYDAYS HOLDINGS, INC PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.85,,0.0
2024-09-30,1.5,$-13.85,0.0
2024-06-30,2.54,$-12.96,0.0
2024-03-31,4.03,$-9.62,0.0
2023-12-31,7.05,$-8.12,0.0
2023-09-30,7.6,$-0.77,0.0
2023-06-30,11.56,$0.06,192.67
2023-03-31,11.67,$0.75,15.56
2022-12-31,11.94,$2.09,5.71
2022-09-30,13.5,$3.18,4.25
2022-06-30,11.78,$3.99,2.95
2022-03-31,20.18,$4.39,4.6
2021-12-31,21.54,$3.54,6.08
2021-09-30,21.34,$3.25,6.57
2021-06-30,22.0,$2.64,8.33
2021-03-31,17.81,$1.82,9.79
2020-12-31,16.25,$1.58,10.28
2020-09-30,12.68,$0.80,15.85
2020-06-30,8.71,$-0.16,0.0
2020-03-31,2.06,$-0.53,0.0
2019-12-31,4.1,$-0.57,0.0
2019-09-30,4.76,$-0.35,0.0
2019-06-30,5.0,$-0.35,0.0
2019-03-31,4.74,$-0.33,0.0
2018-12-31,5.4,$-0.37,0.0
