Gogoro PE Ratio Historical Data,Gogoro PE Ratio Historical Data,Gogoro PE Ratio Historical Data,Gogoro PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.36,,0.0
2024-09-30,0.53,$-0.32,0.0
2024-06-30,1.54,$-0.27,0.0
2024-03-31,1.84,$-0.21,0.0
2023-12-31,2.58,$-0.32,0.0
2023-09-30,2.62,$-0.25,0.0
2023-06-30,3.45,$-0.00,0.0
2023-03-31,4.05,$-0.51,0.0
