ADT PE Ratio Historical Data,ADT PE Ratio Historical Data,ADT PE Ratio Historical Data,ADT PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.76,,14.64
2024-12-31,6.91,$0.53,13.04
2024-09-30,7.18,$0.92,7.8
2024-06-30,7.48,$0.70,10.69
2024-03-31,6.57,$0.70,9.38
2023-12-31,6.61,$0.50,13.22
2023-09-30,5.79,$0.07,82.66
2023-06-30,5.78,$0.03,192.68
2023-03-31,6.89,$0.03,229.72
2022-12-31,8.6,$0.19,45.27
2022-09-30,7.08,$-0.04,0.0
2022-06-30,5.79,$-0.04,0.0
2022-03-31,7.1,$-0.29,0.0
2021-12-31,7.84,$-0.41,0.0
2021-09-30,7.51,$-0.48,0.0
2021-06-30,9.97,$-0.50,0.0
2021-03-31,7.77,$-0.49,0.0
2020-12-31,7.2,$-0.83,0.0
2020-09-30,7.46,$-0.79,0.0
2020-06-30,7.26,$-0.89,0.0
2020-03-31,3.91,$-0.89,0.0
2019-12-31,7.12,$-0.58,0.0
2019-09-30,5.18,$-0.68,0.0
2019-06-30,5.03,$-0.74,0.0
2019-03-31,5.19,$-0.69,0.0
2018-12-31,4.88,$-0.82,0.0
