Equillium PE Ratio Historical Data,Equillium PE Ratio Historical Data,Equillium PE Ratio Historical Data,Equillium PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.8,,0.0
2024-09-30,0.83,$-0.14,0.0
2024-06-30,0.69,$-0.25,0.0
2024-03-31,2.31,$-0.36,0.0
2023-12-31,0.72,$-0.39,0.0
2023-09-30,0.74,$-0.24,0.0
2023-06-30,0.75,$-0.53,0.0
2023-03-31,0.73,$-0.84,0.0
2022-12-31,1.06,$-1.90,0.0
2022-09-30,2.22,$-2.34,0.0
2022-06-30,2.04,$-2.29,0.0
2022-03-31,3.15,$-2.19,0.0
2021-12-31,3.77,$-1.35,0.0
2021-09-30,6.82,$-1.35,0.0
2021-06-30,5.89,$-1.31,0.0
2021-03-31,7.15,$-1.37,0.0
2020-12-31,5.35,$-1.49,0.0
2020-09-30,5.77,$-1.57,0.0
2020-06-30,2.95,$-1.61,0.0
2020-03-31,2.71,$-1.59,0.0
2019-12-31,3.38,$-1.48,0.0
2019-09-30,3.8,$-1.35,0.0
