PrimeEnergy PE Ratio Historical Data,PrimeEnergy PE Ratio Historical Data,PrimeEnergy PE Ratio Historical Data,PrimeEnergy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,215.0,,9.24
2024-09-30,137.8,$23.26,5.92
2024-06-30,106.35,$18.59,5.72
2024-03-31,100.25,$14.64,6.85
2023-12-31,106.35,$10.76,9.88
2023-09-30,115.99,$13.47,8.61
2023-06-30,92.03,$14.22,6.47
2023-03-31,84.75,$14.42,5.88
2022-12-31,86.87,$17.96,4.84
2022-09-30,79.8,$16.25,4.91
2022-06-30,78.4,$10.79,7.27
2022-03-31,69.48,$5.57,12.47
2021-12-31,70.1,$0.77,91.04
2021-09-30,58.43,$-3.70,0.0
2021-06-30,47.0,$-0.76,0.0
2021-03-31,52.39,$-2.70,0.0
2020-12-31,43.17,$-2.06,0.0
2020-09-30,69.04,$-0.87,0.0
2020-06-30,71.09,$-2.32,0.0
2020-03-31,74.0,$3.67,20.16
2019-12-31,151.26,$2.27,66.63
2019-09-30,115.0,$4.89,23.52
2019-06-30,133.13,$5.52,24.12
2019-03-31,169.0,$2.40,70.42
2018-12-31,70.05,$5.03,13.93
2018-09-30,72.2,$9.65,7.48
2018-06-30,71.0,$6.89,10.3
2018-03-31,52.9,$7.28,7.27
2017-12-31,51.5,$13.49,3.82
2017-09-30,47.0,$5.55,8.47
2017-06-30,47.05,$8.39,5.61
2017-03-31,50.0,$9.10,5.49
2016-12-31,54.0,$0.94,57.45
2016-09-30,58.31,$-2.78,0.0
2016-06-30,60.76,$-4.68,0.0
2016-03-31,33.39,$-6.35,0.0
2015-12-31,53.0,$-5.54,0.0
2015-09-30,72.0,$2.17,33.18
2015-06-30,56.0,$5.92,9.46
2015-03-31,53.5,$7.80,6.86
2014-12-31,72.74,$8.70,8.36
2014-09-30,65.13,$5.95,10.95
2014-06-30,62.0,$3.19,19.44
2014-03-31,52.4,$4.07,12.87
2013-12-31,51.42,$3.87,13.29
2013-09-30,50.29,$4.83,10.41
2013-06-30,37.0,$4.52,8.19
2013-03-31,29.49,$4.80,6.14
2012-12-31,23.0,$4.49,5.12
2012-09-30,27.49,$2.91,9.45
2012-06-30,26.9,$3.74,7.19
2012-03-31,25.75,$2.46,10.47
2011-12-31,22.59,$1.21,18.67
2011-09-30,19.54,$-0.80,0.0
2011-06-30,23.4,$-1.81,0.0
2011-03-31,26.16,$-1.05,0.0
2010-12-31,19.35,$0.72,26.87
2010-09-30,18.3,$-1.70,0.0
2010-06-30,19.74,$-2.68,0.0
2010-03-31,29.0,$-5.46,0.0
2009-12-31,36.39,$-7.29,0.0
