Alliance Entertainment Holding PE Ratio Historical Data,Alliance Entertainment Holding PE Ratio Historical Data,Alliance Entertainment Holding PE Ratio Historical Data,Alliance Entertainment Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.76,,28.92
2024-12-31,9.06,$0.13,69.69
2024-09-30,2.72,$0.17,16.0
2024-06-30,3.0,$0.09,33.28
2024-03-31,2.14,$-0.05,0.0
2023-12-31,0.93,$-0.14,0.0
2023-09-30,1.11,$-0.32,0.0
2023-06-30,2.55,$-0.25,0.0
2023-03-31,8.15,$-0.16,0.0
2022-12-31,10.18,0,0.0
2022-09-30,9.95,0,0.0
2022-06-30,9.89,0,0.0
2022-03-31,9.88,0,0.0
2021-12-31,9.79,0,0.0
