Provident Bancorp PE Ratio Historical Data,Provident Bancorp PE Ratio Historical Data,Provident Bancorp PE Ratio Historical Data,Provident Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.64,,36.38
2024-09-30,10.79,$0.32,33.72
2024-06-30,10.19,$0.43,23.7
2024-03-31,9.1,$0.84,10.83
2023-12-31,10.07,$0.67,15.03
2023-09-30,9.69,$0.65,14.91
2023-06-30,8.28,$-1.65,0.0
2023-03-31,6.84,$-1.53,0.0
2022-12-31,7.28,$-1.34,0.0
2022-09-30,14.31,$-1.29,0.0
2022-06-30,15.66,$1.16,13.5
2022-03-31,16.13,$1.01,15.97
2021-12-31,18.46,$0.93,19.85
2021-09-30,15.87,$0.96,16.53
2021-06-30,16.12,$0.84,19.18
2021-03-31,14.19,$0.84,16.9
2020-12-31,11.8,$0.67,17.61
2020-09-30,7.63,$0.57,13.39
2020-06-30,7.67,$0.76,10.1
2020-03-31,8.39,$0.71,11.76
2019-12-31,12.12,$0.76,15.9
2019-09-30,23.39,$0.77,30.35
2019-06-30,27.24,$0.51,53.46
2019-03-31,22.04,$0.50,43.69
2018-12-31,21.1,$0.49,42.64
2018-09-30,28.18,$0.44,63.98
2018-06-30,25.5,$0.48,53.14
2018-03-31,25.84,$0.44,59.35
2017-12-31,25.74,$0.43,60.5
2017-09-30,22.53,$0.43,52.95
2017-06-30,21.9,$0.37,59.01
2017-03-31,20.39,$0.36,56.45
2016-12-31,17.42,$0.34,51.03
2016-09-30,15.18,$0.25,61.37
2016-06-30,15.01,$0.15,97.83
