GEE Group PE Ratio Historical Data,GEE Group PE Ratio Historical Data,GEE Group PE Ratio Historical Data,GEE Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.21,,0.0
2024-12-31,0.21,$-0.22,0.0
2024-09-30,0.26,$-0.22,0.0
2024-06-30,0.31,$-0.20,0.0
2024-03-31,0.36,$0.05,7.19
2023-12-31,0.5,$0.07,7.15
2023-09-30,0.59,$0.09,6.57
2023-06-30,0.51,$0.08,6.4
2023-03-31,0.42,$0.03,13.83
2022-12-31,0.49,$0.03,16.33
2022-09-30,0.63,$0.16,3.94
2022-06-30,0.52,$0.20,2.61
2022-03-31,0.55,$0.17,3.25
2021-12-31,0.57,$0.06,9.5
2021-09-30,0.46,$-0.10,0.0
2021-06-30,0.57,$-0.79,0.0
2021-03-31,1.27,$1.10,1.15
2020-12-31,1.0,$0.82,1.21
2020-09-30,1.0,$0.57,1.75
2020-06-30,0.55,$0.95,0.58
2020-03-31,0.36,$-1.50,0.0
2019-12-31,0.39,$-1.46,0.0
2019-09-30,0.75,$-1.51,0.0
2019-06-30,0.79,$-1.32,0.0
2019-03-31,1.2,$-0.93,0.0
2018-12-31,0.7,$-0.87,0.0
2018-09-30,2.5,$-0.73,0.0
2018-06-30,2.3,$-0.25,0.0
2018-03-31,2.64,$-0.68,0.0
2017-12-31,2.78,$-0.41,0.0
2017-09-30,2.95,$-0.22,0.0
2017-06-30,5.16,$-0.50,0.0
2017-03-31,4.95,$0.16,30.94
2016-12-31,4.33,$0.17,25.49
2016-09-30,5.23,$0.12,43.58
2016-06-30,4.2,$0.01,419.8
2016-03-31,4.3,$-0.04,0.0
2015-12-31,5.94,$-0.04,0.0
2015-09-30,4.0,$-1.30,0.0
2015-06-30,9.68,$-1.20,0.0
2015-03-31,9.1,$-1.40,0.0
2014-12-31,12.1,$-1.70,0.0
2014-09-30,1.6,$-0.50,0.0
2014-06-30,1.8,$-0.60,0.0
2014-03-31,2.29,$-0.50,0.0
2013-12-31,2.14,$-0.10,0.0
2013-09-30,2.3,$0.10,23.0
2013-06-30,3.03,$0.10,30.25
2013-03-31,3.8,$0.20,19.0
2012-12-31,4.78,$-0.10,0.0
2012-09-30,6.5,$-0.20,0.0
2012-06-30,3.98,$-0.10,0.0
2012-03-31,5.7,0,0.0
2011-12-31,4.2,$0.10,42.0
2011-09-30,2.3,$0.10,23.0
2011-06-30,2.31,$-0.10,0.0
2011-03-31,4.9,$-0.30,0.0
2010-12-31,5.0,$-0.70,0.0
2010-09-30,2.7,$-1.10,0.0
2010-06-30,2.8,$-1.10,0.0
2010-03-31,5.1,$-5.40,0.0
2009-12-31,6.9,$-7.00,0.0
