RB Global PE Ratio Historical Data,RB Global PE Ratio Historical Data,RB Global PE Ratio Historical Data,RB Global PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,98.87,,49.19
2024-12-31,90.21,$2.01,44.88
2024-09-30,80.25,$1.84,43.62
2024-06-30,75.88,$1.78,42.63
2024-03-31,75.69,$1.66,45.59
2023-12-31,66.2,$0.85,77.89
2023-09-30,61.59,$0.84,73.33
2023-06-30,58.86,$0.92,63.97
2023-03-31,54.94,$0.98,56.06
2022-12-31,55.09,$2.86,19.26
2022-09-30,59.22,$2.73,21.69
2022-06-30,61.43,$2.64,23.27
2022-03-31,55.51,$2.71,20.48
2021-12-31,57.31,$1.36,42.14
2021-09-30,57.53,$1.53,37.6
2021-06-30,55.09,$1.65,33.39
2021-03-31,54.21,$1.59,34.1
2020-12-31,64.15,$1.55,41.39
2020-09-30,54.47,$1.58,34.47
2020-06-30,37.42,$1.40,26.73
2020-03-31,31.16,$1.40,22.26
2019-12-31,38.97,$1.36,28.65
2019-09-30,36.04,$1.21,29.78
2019-06-30,29.85,$1.19,25.08
2019-03-31,30.39,$1.12,27.13
2018-12-31,29.1,$1.11,26.21
2018-09-30,31.96,$1.13,28.28
2018-06-30,30.04,$1.01,29.74
2018-03-31,27.57,$0.75,36.76
2017-12-31,26.08,$0.69,37.8
2017-09-30,27.38,$0.61,44.88
2017-06-30,24.73,$0.47,52.63
2017-03-31,28.16,$0.68,41.41
2016-12-31,28.94,$0.85,34.05
2016-09-30,29.72,$1.02,29.14
2016-06-30,28.49,$1.26,22.61
2016-03-31,22.72,$1.32,17.22
2015-12-31,20.09,$1.27,15.82
2015-09-30,21.44,$1.11,19.31
2015-06-30,22.99,$1.01,22.76
2015-03-31,20.44,$0.94,21.74
2014-12-31,21.92,$0.85,25.78
2014-09-30,18.15,$0.89,20.39
2014-06-30,19.87,$0.95,20.91
2014-03-31,19.33,$0.87,22.22
2013-12-31,18.27,$0.87,21.0
2013-09-30,15.97,$0.77,20.74
2013-06-30,15.11,$0.70,21.58
2013-03-31,16.96,$0.71,23.88
2012-12-31,16.24,$0.75,21.65
2012-09-30,14.86,$0.79,18.81
2012-06-30,16.32,$0.77,21.19
2012-03-31,18.15,$0.73,24.86
2011-12-31,16.79,$0.72,23.32
2011-09-30,15.27,$0.60,25.45
2011-06-30,20.69,$0.67,30.89
2011-03-31,21.11,$0.67,31.5
2010-12-31,17.21,$0.63,27.32
2010-09-30,15.42,$0.71,21.72
2010-06-30,13.45,$0.70,19.21
2010-03-31,15.82,$0.82,19.29
2009-12-31,16.4,$0.89,18.42
