Gannett PE Ratio Historical Data,Gannett PE Ratio Historical Data,Gannett PE Ratio Historical Data,Gannett PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.14,,0.0
2024-12-31,5.06,$-0.54,0.0
2024-09-30,5.62,$-0.81,0.0
2024-06-30,4.61,$-0.69,0.0
2024-03-31,2.44,$-0.87,0.0
2023-12-31,2.3,$-0.20,0.0
2023-09-30,2.45,$0.13,18.85
2023-06-30,2.25,$-0.24,0.0
2023-03-31,1.87,$-0.54,0.0
2022-12-31,2.03,$-0.63,0.0
2022-09-30,1.53,$-0.97,0.0
2022-06-30,2.9,$-0.49,0.0
2022-03-31,4.51,$-0.00,0.0
2021-12-31,5.33,$-1.04,0.0
2021-09-30,6.68,$-1.79,0.0
2021-06-30,5.49,$-2.12,0.0
2021-03-31,5.38,$-5.54,0.0
2020-12-31,3.36,$-5.09,0.0
2020-09-30,1.3,$-5.22,0.0
