Bank7 PE Ratio Historical Data,Bank7 PE Ratio Historical Data,Bank7 PE Ratio Historical Data,Bank7 PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,39.06,,8.07
2024-12-31,46.66,$4.84,9.64
2024-09-30,37.47,$3.80,9.86
2024-06-30,31.1,$3.41,9.12
2024-03-31,27.83,$3.23,8.62
2023-12-31,26.79,$3.06,8.75
2023-09-30,21.88,$3.85,5.68
2023-06-30,23.63,$3.87,6.1
2023-03-31,23.49,$3.58,6.56
2022-12-31,24.34,$3.22,7.56
2022-09-30,20.96,$2.93,7.15
2022-06-30,21.47,$2.75,7.81
2022-03-31,22.07,$2.66,8.3
2021-12-31,21.4,$2.54,8.43
2021-09-30,19.83,$2.44,8.13
2021-06-30,15.88,$2.23,7.12
2021-03-31,16.11,$2.10,7.67
2020-12-31,12.91,$2.05,6.3
2020-09-30,8.48,$1.98,4.28
2020-06-30,9.69,$0.86,11.27
2020-03-31,7.02,$0.82,8.56
2019-12-31,16.55,$0.81,20.43
2019-09-30,15.99,$0.90,17.77
2019-06-30,15.64,$2.41,6.49
