Madison Square Garden Entertainment PE Ratio Historical Data,Madison Square Garden Entertainment PE Ratio Historical Data,Madison Square Garden Entertainment PE Ratio Historical Data,Madison Square Garden Entertainment PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,34.02,,12.94
2024-12-31,35.6,$2.63,13.54
2024-09-30,42.53,$3.66,11.62
2024-06-30,34.23,$3.06,11.19
2024-03-31,39.21,$1.18,33.23
