Clarus PE Ratio Historical Data,Clarus PE Ratio Historical Data,Clarus PE Ratio Historical Data,Clarus PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.95,,0.0
2024-12-31,4.51,$-1.36,0.0
2024-09-30,4.47,$0.13,34.41
2024-06-30,6.65,$0.18,36.97
2024-03-31,6.65,$0.26,25.57
2023-12-31,6.77,$-0.27,0.0
2023-09-30,7.38,$-2.25,0.0
2023-06-30,8.9,$-2.15,0.0
2023-03-31,9.18,$-2.00,0.0
2022-12-31,7.59,$-1.91,0.0
2022-09-30,13.01,$0.65,20.01
2022-06-30,18.32,$0.71,25.8
2022-03-31,21.95,$0.68,32.28
2021-12-31,26.68,$0.72,37.05
2021-09-30,24.64,$0.58,42.49
2021-06-30,24.69,$0.49,50.39
2021-03-31,16.36,$0.34,48.12
2020-12-31,14.75,$0.17,86.79
2020-09-30,13.51,$0.35,38.78
2020-06-30,11.06,$0.42,26.47
2020-03-31,9.31,$0.49,19.09
2019-12-31,12.86,$0.61,21.17
2019-09-30,11.1,$0.33,33.77
2019-06-30,13.64,$0.36,38.05
2019-03-31,12.08,$0.35,34.66
2018-12-31,9.52,$0.24,39.84
2018-09-30,10.37,$0.32,32.55
2018-06-30,7.73,$0.13,59.7
2018-03-31,6.32,$0.04,158.82
2017-12-31,7.35,$-0.02,0.0
2017-09-30,7.02,$-0.27,0.0
2017-06-30,6.23,$-0.23,0.0
2017-03-31,5.1,$-0.21,0.0
2016-12-31,5.01,$-0.29,0.0
2016-09-30,4.81,$-0.88,0.0
2016-06-30,3.88,$-2.33,0.0
2016-03-31,4.23,$-2.40,0.0
2015-12-31,4.14,$-2.32,0.0
2015-09-30,5.88,$-1.68,0.0
2015-06-30,8.65,$0.41,21.2
2015-03-31,8.85,$0.43,20.67
2014-12-31,8.19,$0.44,18.7
2014-09-30,7.08,$0.46,15.46
2014-06-30,10.51,$-0.21,0.0
2014-03-31,11.45,$-0.13,0.0
2013-12-31,12.48,$-0.19,0.0
2013-09-30,11.39,$-0.19,0.0
2013-06-30,8.79,$-0.13,0.0
2013-03-31,8.53,$-0.12,0.0
2012-12-31,7.68,$0.08,96.35
2012-09-30,8.21,$0.22,37.48
2012-06-30,8.85,$0.25,35.54
2012-03-31,8.67,$0.27,32.25
2011-12-31,7.0,$0.22,31.93
2011-09-30,6.11,$0.04,153.03
2011-06-30,7.38,$-0.16,0.0
2011-03-31,6.44,$2.90,2.22
2010-12-31,7.41,$2.71,2.74
2010-09-30,6.13,$2.58,2.38
2010-06-30,6.46,$2.68,2.41
2010-03-31,4.5,$-0.39,0.0
2009-12-31,3.98,$-0.29,0.0
