Cellectar Biosciences PE Ratio Historical Data,Cellectar Biosciences PE Ratio Historical Data,Cellectar Biosciences PE Ratio Historical Data,Cellectar Biosciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.38,,0.0
2024-12-31,0.3,$-1.32,0.0
2024-09-30,2.14,$-1.72,0.0
2024-06-30,2.5,$-2.53,0.0
2024-03-31,3.98,$-3.08,0.0
2023-12-31,2.77,$-3.10,0.0
2023-09-30,2.64,$-3.25,0.0
2023-06-30,1.95,$-3.32,0.0
2023-03-31,1.43,$-3.81,0.0
2022-12-31,1.71,$-4.05,0.0
2022-09-30,3.36,$-4.50,0.0
2022-06-30,4.04,$-4.22,0.0
2022-03-31,6.88,$-4.10,0.0
2021-12-31,6.64,$-4.40,0.0
2021-09-30,9.25,$-4.10,0.0
2021-06-30,11.9,$-4.60,0.0
2021-03-31,16.1,$-6.10,0.0
2020-12-31,20.8,$-9.00,0.0
2020-09-30,12.4,$-11.60,0.0
2020-06-30,12.8,$-14.30,0.0
2020-03-31,13.33,$-16.30,0.0
2019-12-31,22.5,$-19.70,0.0
2019-09-30,20.0,$-16.40,0.0
2019-06-30,21.8,$-28.70,0.0
2019-03-31,23.5,$-41.00,0.0
2018-12-31,15.5,$-54.40,0.0
2018-09-30,30.0,"$-3,454.40",0.0
2018-06-30,62.0,"$-3,463.90",0.0
2018-03-31,113.5,"$-3,470.00",0.0
2017-12-31,137.0,"$-3,473.00",0.0
2017-09-30,167.0,$-107.00,0.0
2017-06-30,163.0,$-124.00,0.0
2017-03-31,227.0,$-150.00,0.0
2016-12-31,122.0,$-35.00,0.0
2016-09-30,271.0,$-1.00,0.0
2016-06-30,344.0,$-208.00,0.0
2016-03-31,341.83,$-459.00,0.0
2015-12-31,735.0,$-850.00,0.0
2015-09-30,1970.0,"$-1,070.00",0.0
2015-06-30,2880.0,$-920.00,0.0
2015-03-31,3110.0,"$-1,350.00",0.0
2014-12-31,3090.0,"$-2,050.00",0.0
2014-09-30,2220.0,"$-3,230.00",0.0
2014-06-30,6390.0,"$-6,130.00",0.0
2014-03-31,7800.0,"$-6,200.00",0.0
2013-12-31,7400.0,"$-6,600.00",0.0
2013-09-30,7200.0,"$-6,200.00",0.0
2013-06-30,9200.0,"$-4,400.00",0.0
2013-03-31,9200.0,"$-4,800.00",0.0
2012-12-31,14800.0,"$-4,600.00",0.0
2012-09-30,21000.0,"$-4,800.00",0.0
2012-06-30,23800.0,"$-5,000.00",0.0
2012-03-31,17000.0,"$-5,800.00",0.0
2011-12-31,8800.0,"$-11,400.00",0.0
2011-09-30,25400.0,"$-11,800.00",0.0
2011-06-30,26000.0,"$-10,800.00",0.0
2011-03-31,61200.0,"$-70,338.45",0.0
2010-12-31,91800.0,"$-2,000.00",0.0
2010-09-30,153000.0,"$-800,399.90",0.0
2010-06-30,336600.0,"$-1,015,384.50",0.0
2010-03-31,550800.0,"$-1,353,846.05",0.0
2009-12-31,7772400.0,"$-1,630,769.10",0.0
