Sonida Senior Living PE Ratio Historical Data,Sonida Senior Living PE Ratio Historical Data,Sonida Senior Living PE Ratio Historical Data,Sonida Senior Living PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,23.7,,0.0
2024-09-30,26.74,$-1.85,0.0
2024-06-30,27.5,$-3.66,0.0
2024-03-31,28.57,$-4.91,0.0
2023-12-31,9.66,$-4.31,0.0
2023-09-30,8.99,$-4.93,0.0
2023-06-30,8.72,$-4.48,0.0
2023-03-31,6.79,$-3.71,0.0
2022-12-31,12.5,$-9.28,0.0
2022-09-30,16.24,$-6.49,0.0
2022-06-30,21.0,$13.33,1.58
2022-03-31,33.13,$38.16,0.87
2021-12-31,28.49,$59.77,0.48
2021-09-30,35.22,$49.78,0.71
2021-06-30,49.5,$-72.65,0.0
2021-03-31,38.5,$-102.43,0.0
2020-12-31,12.34,$-145.07,0.0
2020-09-30,9.42,$-129.99,0.0
2020-06-30,10.65,$-35.23,0.0
2020-03-31,8.7,$-35.08,0.0
2019-12-31,46.35,$-17.69,0.0
2019-09-30,65.7,$-35.98,0.0
2019-06-30,75.45,$-31.33,0.0
2019-03-31,59.85,$-29.68,0.0
2018-12-31,102.0,$-26.84,0.0
2018-09-30,141.6,$-16.94,0.0
2018-06-30,160.05,$-15.59,0.0
2018-03-31,161.25,$-15.14,0.0
2017-12-31,202.35,$-22.79,0.0
2017-09-30,188.25,$-24.89,0.0
2017-06-30,228.15,$-24.29,0.0
2017-03-31,210.9,$-22.49,0.0
2016-12-31,240.75,$-14.39,0.0
2016-09-30,252.0,$-12.14,0.0
2016-06-30,265.05,$-7.05,0.0
2016-03-31,277.8,$-7.50,0.0
2015-12-31,312.9,$-7.50,0.0
2015-09-30,300.75,$-6.30,0.0
2015-06-30,367.5,$-10.79,0.0
2015-03-31,389.1,$-13.19,0.0
2014-12-31,373.65,$-12.59,0.0
2014-09-30,318.45,$-11.84,0.0
2014-06-30,357.6,$-14.09,0.0
2014-03-31,389.85,$-10.05,0.0
2013-12-31,359.85,$-8.55,0.0
2013-09-30,317.25,$-8.25,0.0
2013-06-30,358.5,$-3.45,0.0
2013-03-31,396.45,$-2.85,0.0
2012-12-31,280.35,$-1.65,0.0
2012-09-30,217.05,$-0.60,0.0
2012-06-30,159.0,$0.15,1060.71
2012-03-31,138.6,$1.05,132.06
2011-12-31,119.1,$1.65,72.22
2011-09-30,92.55,$2.40,38.58
2011-06-30,139.35,$2.40,58.09
2011-03-31,159.3,$2.70,59.03
2010-12-31,100.5,$2.40,41.89
2010-09-30,79.95,$1.95,41.02
2010-06-30,74.55,$2.10,35.52
2010-03-31,78.9,$1.65,47.84
2009-12-31,75.3,$1.65,45.66
