Stellantis PE Ratio Historical Data,Stellantis PE Ratio Historical Data,Stellantis PE Ratio Historical Data,Stellantis PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.17,,9.08
2024-06-30,19.85,$1.34,14.81
2020-12-31,14.56,$0.15,97.09
2020-09-30,9.84,$0.08,122.97
2020-06-30,8.24,$-0.93,0.0
2020-03-31,5.79,$0.36,16.08
2019-12-31,11.83,$2.00,5.91
2019-09-30,10.43,$1.83,5.7
2019-06-30,11.13,$2.37,4.69
2019-03-31,11.95,$2.38,5.02
2018-12-31,11.64,$2.73,4.26
2018-09-30,14.1,$2.39,5.9
2018-06-30,15.21,$2.66,5.72
2018-03-31,16.52,$2.90,5.7
2017-12-31,14.36,$2.54,5.65
2017-09-30,14.42,$2.23,6.47
2017-06-30,8.56,$1.97,4.34
2017-03-31,8.8,$1.38,6.38
2016-12-31,7.34,$1.28,5.74
2016-09-30,5.15,$1.17,4.4
2016-06-30,4.93,$0.51,9.66
2016-03-31,6.49,$0.53,12.24
2015-12-31,11.26,$0.25,45.05
2015-09-30,10.63,$0.44,24.17
2015-06-30,11.7,$0.85,13.76
2015-03-31,13.13,$0.81,16.21
2014-12-31,9.32,$0.54,17.26
2014-09-30,8.07,$1.13,7.14
