Portman Ridge Finance PE Ratio Historical Data,Portman Ridge Finance PE Ratio Historical Data,Portman Ridge Finance PE Ratio Historical Data,Portman Ridge Finance PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.68,,0.0
2024-12-31,16.34,$-0.37,0.0
2024-09-30,17.84,$0.37,48.22
2024-06-30,18.2,$1.31,13.89
2024-03-31,17.01,$1.67,10.18
2023-12-31,15.72,$1.20,13.1
2023-09-30,15.98,$-0.82,0.0
2023-06-30,16.03,$-2.04,0.0
2023-03-31,15.98,$-2.59,0.0
2022-12-31,17.27,$-2.18,0.0
2022-09-30,15.3,$-1.11,0.0
2022-06-30,16.62,$0.33,50.38
2022-03-31,16.68,$2.61,6.39
2021-12-31,16.64,$3.29,5.06
2021-09-30,15.97,$10.90,1.46
2021-06-30,15.23,$11.80,1.29
2021-03-31,13.48,$11.10,1.21
2020-12-31,11.58,$3.50,3.31
2020-09-30,7.73,$-2.90,0.0
2020-06-30,6.09,$-5.90,0.0
2020-03-31,4.91,$-6.80,0.0
2019-12-31,10.85,$-3.20,0.0
2019-09-30,11.2,$-7.50,0.0
2019-06-30,10.92,$-6.00,0.0
2019-03-31,17.57,$-6.10,0.0
2018-12-31,16.32,$-2.50,0.0
2018-09-30,15.15,$1.10,13.77
2018-06-30,14.43,$0.50,28.86
2018-03-31,13.52,$1.50,9.01
2017-12-31,14.27,$0.90,15.85
2017-09-30,14.8,$0.60,24.67
2017-06-30,13.84,$1.50,9.23
2017-03-31,15.49,$1.60,9.68
2016-12-31,14.71,$-0.30,0.0
2016-09-30,16.57,$-3.40,0.0
2016-06-30,13.5,$-8.40,0.0
2016-03-31,11.87,$-8.90,0.0
2015-12-31,12.94,$-5.10,0.0
2015-09-30,13.79,$-4.80,0.0
2015-06-30,17.63,$1.80,9.8
2015-03-31,19.21,$4.90,3.92
2014-12-31,19.47,$3.90,4.99
2014-09-30,22.2,$7.10,3.13
2014-06-30,22.01,$4.80,4.59
2014-03-31,21.81,$3.90,5.59
2013-12-31,20.33,$5.30,3.84
2013-09-30,21.27,$10.00,2.13
2013-06-30,26.06,$13.20,1.97
2013-03-31,24.26,$11.30,2.15
2012-12-31,20.7,$9.10,2.27
2012-09-30,19.74,$3.40,5.81
2012-06-30,14.99,$-0.40,0.0
2012-03-31,13.9,$-0.60,0.0
2011-12-31,12.7,$3.20,3.97
2011-09-30,11.12,$0.80,13.9
2011-06-30,14.8,$3.10,4.77
2011-03-31,15.05,$2.80,5.38
2010-12-31,12.7,$-0.50,0.0
2010-09-30,11.61,$3.70,3.14
2010-06-30,8.39,$3.60,2.33
2010-03-31,9.21,$6.40,1.44
2009-12-31,7.42,$8.90,0.83
