Energous PE Ratio Historical Data,Energous PE Ratio Historical Data,Energous PE Ratio Historical Data,Energous PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.31,,0.0
2024-12-31,1.01,$-2.62,0.0
2024-09-30,0.59,$-3.11,0.0
2024-06-30,1.09,$-3.47,0.0
2024-03-31,2.03,$-3.62,0.0
2023-12-31,1.83,$-4.11,0.0
2023-09-30,1.6,$-4.86,0.0
2023-06-30,4.8,$-5.60,0.0
2023-03-31,10.8,$-6.60,0.0
2022-12-31,16.72,$-6.80,0.0
2022-09-30,20.6,$-7.80,0.0
2022-06-30,20.0,$-10.20,0.0
2022-03-31,24.0,$-12.00,0.0
2021-12-31,25.0,$-13.00,0.0
2021-09-30,41.6,$-13.40,0.0
2021-06-30,57.4,$-13.00,0.0
2021-03-31,81.2,$-13.40,0.0
2020-12-31,36.0,$-15.60,0.0
2020-09-30,59.0,$-18.40,0.0
2020-06-30,56.4,$-20.20,0.0
2020-03-31,14.86,$-22.60,0.0
2019-12-31,35.4,$-25.40,0.0
2019-09-30,66.3,$-29.20,0.0
2019-06-30,87.4,$-33.60,0.0
2019-03-31,126.8,$-36.80,0.0
2018-12-31,115.8,$-40.00,0.0
2018-09-30,202.4,$-40.40,0.0
2018-06-30,296.6,$-42.20,0.0
2018-03-31,320.6,$-45.20,0.0
2017-12-31,389.0,$-46.40,0.0
2017-09-30,253.2,$-51.40,0.0
2017-06-30,325.2,$-51.20,0.0
2017-03-31,312.0,$-51.00,0.0
2016-12-31,337.0,$-52.00,0.0
2016-09-30,392.2,$-49.20,0.0
2016-06-30,259.0,$-46.40,0.0
2016-03-31,202.0,$-43.60,0.0
2015-12-31,158.2,$-41.20,0.0
2015-09-30,138.0,$-46.80,0.0
2015-06-30,154.0,$-50.60,0.0
2015-03-31,188.8,$-40.40,0.0
2014-12-31,219.2,$-258.60,0.0
