Canaan PE Ratio Historical Data,Canaan PE Ratio Historical Data,Canaan PE Ratio Historical Data,Canaan PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.99,,0.0
2024-09-30,1.01,$-1.35,0.0
2024-06-30,1.0,$-1.55,0.0
2024-03-31,1.52,$-2.05,0.0
2023-12-31,2.31,$-2.40,0.0
2023-09-30,1.82,$-2.01,0.0
2023-06-30,2.13,$-1.49,0.0
2023-03-31,2.7,$-0.31,0.0
2022-12-31,2.06,$0.61,3.38
2022-09-30,3.28,$2.06,1.59
2022-06-30,3.22,$2.42,1.33
2022-03-31,5.43,$2.11,2.57
2021-12-31,5.15,$1.70,3.03
2021-09-30,6.11,$0.56,10.91
2021-06-30,8.15,$0.07,116.43
2021-03-31,20.67,$-0.17,0.0
2020-12-31,5.93,$-0.21,0.0
2020-09-30,1.87,$0.63,2.97
