Lantronix PE Ratio Historical Data,Lantronix PE Ratio Historical Data,Lantronix PE Ratio Historical Data,Lantronix PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.76,,0.0
2024-12-31,4.12,$-0.13,0.0
2024-09-30,4.12,$-0.14,0.0
2024-06-30,3.55,$-0.12,0.0
2024-03-31,3.56,$-0.18,0.0
2023-12-31,5.86,$-0.25,0.0
2023-09-30,4.45,$-0.25,0.0
2023-06-30,4.21,$-0.25,0.0
2023-03-31,4.34,$-0.13,0.0
2022-12-31,4.32,$-0.14,0.0
2022-09-30,4.81,$-0.15,0.0
2022-06-30,5.38,$-0.18,0.0
2022-03-31,6.68,$-0.29,0.0
2021-12-31,7.83,$-0.24,0.0
2021-09-30,5.82,$-0.21,0.0
2021-06-30,5.16,$-0.14,0.0
2021-03-31,4.57,$-0.16,0.0
2020-12-31,4.44,$-0.31,0.0
2020-09-30,4.81,$-0.32,0.0
2020-06-30,3.71,$-0.42,0.0
2020-03-31,1.96,$-0.42,0.0
2019-12-31,3.55,$-0.19,0.0
2019-09-30,3.35,$-0.12,0.0
2019-06-30,3.33,$-0.01,0.0
2019-03-31,3.02,$0.09,33.56
2018-12-31,2.94,$0.07,42.0
2018-09-30,4.07,$0.07,58.14
2018-06-30,2.84,$0.03,94.67
2018-03-31,2.06,$-0.01,0.0
2017-12-31,2.02,$-0.04,0.0
2017-09-30,2.43,$-0.05,0.0
2017-06-30,2.43,$-0.02,0.0
2017-03-31,3.88,$-0.04,0.0
2016-12-31,1.7,$-0.06,0.0
2016-09-30,1.4,$-0.12,0.0
2016-06-30,0.97,$-0.13,0.0
2016-03-31,0.95,$-0.18,0.0
2015-12-31,1.13,$-0.21,0.0
2015-09-30,1.25,$-0.19,0.0
2015-06-30,1.65,$-0.19,0.0
2015-03-31,1.81,$-0.13,0.0
2014-12-31,1.89,$-0.08,0.0
2014-09-30,1.78,$-0.06,0.0
2014-06-30,1.97,$-0.06,0.0
2014-03-31,2.08,$-0.13,0.0
2013-12-31,1.56,$-0.17,0.0
2013-09-30,1.4,$-0.18,0.0
2013-06-30,1.58,$-0.19,0.0
2013-03-31,2.15,$-0.12,0.0
2012-12-31,1.98,$-0.07,0.0
2012-09-30,1.74,$-0.17,0.0
2012-06-30,2.04,$-0.28,0.0
2012-03-31,2.8,$-0.61,0.0
2011-12-31,2.49,$-0.65,0.0
2011-09-30,1.84,$-0.58,0.0
2011-06-30,2.53,$-0.51,0.0
2011-03-31,3.79,$-0.22,0.0
2010-12-31,3.7,$-0.19,0.0
2010-09-30,3.3,$-0.17,0.0
2010-06-30,4.05,$-0.16,0.0
2010-03-31,3.88,$-0.17,0.0
2009-12-31,3.24,$-0.16,0.0
