BioXcel Therapeutics PE Ratio Historical Data,BioXcel Therapeutics PE Ratio Historical Data,BioXcel Therapeutics PE Ratio Historical Data,BioXcel Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.36,,0.0
2024-09-30,0.61,$-34.56,0.0
2024-06-30,1.28,$-56.96,0.0
2024-03-31,2.82,$-82.88,0.0
2023-12-31,2.95,$-98.40,0.0
2023-09-30,2.53,$-117.44,0.0
2023-06-30,6.66,$-113.76,0.0
2023-03-31,18.66,$-106.08,0.0
2022-12-31,21.48,$-94.56,0.0
2022-09-30,11.82,$-78.24,0.0
2022-06-30,13.2,$-69.76,0.0
2022-03-31,20.91,$-65.92,0.0
2021-12-31,20.33,$-65.28,0.0
2021-09-30,30.35,$-64.32,0.0
2021-06-30,29.06,$-66.08,0.0
2021-03-31,43.16,$-65.28,0.0
2020-12-31,46.2,$-60.64,0.0
2020-09-30,43.36,$-53.92,0.0
2020-06-30,53.01,$-45.92,0.0
2020-03-31,22.35,$-37.60,0.0
2019-12-31,14.61,$-32.32,0.0
2019-09-30,7.04,$-32.64,0.0
2019-06-30,10.96,$-28.48,0.0
2019-03-31,9.89,$-22.88,0.0
2018-12-31,3.86,$-21.44,0.0
