SmartRent PE Ratio Historical Data,SmartRent PE Ratio Historical Data,SmartRent PE Ratio Historical Data,SmartRent PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.19,,0.0
2024-12-31,1.75,$-0.17,0.0
2024-09-30,1.73,$-0.13,0.0
2024-06-30,2.39,$-0.12,0.0
2024-03-31,2.68,$-0.15,0.0
2023-12-31,3.19,$-0.18,0.0
2023-09-30,2.61,$-0.27,0.0
2023-06-30,3.83,$-0.36,0.0
2023-03-31,2.55,$-0.44,0.0
2022-12-31,2.43,$-0.49,0.0
2022-09-30,2.27,$-0.51,0.0
2022-06-30,4.52,$-0.69,0.0
2022-03-31,5.06,$-5.43,0.0
2021-12-31,9.68,$-5.31,0.0
