Garmin PE Ratio Historical Data,Garmin PE Ratio Historical Data,Garmin PE Ratio Historical Data,Garmin PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,208.71,,28.55
2024-12-31,206.26,$7.31,28.22
2024-09-30,175.42,$7.88,22.26
2024-06-30,161.65,$7.15,22.61
2024-03-31,147.02,$7.09,20.74
2023-12-31,126.32,$6.71,18.83
2023-09-30,102.78,$5.42,18.96
2023-06-30,101.2,$5.17,19.57
2023-03-31,97.26,$5.00,19.45
2022-12-31,88.28,$5.04,17.52
2022-09-30,76.24,$4.99,15.28
2022-06-30,92.51,$5.24,17.65
2022-03-31,110.81,$5.55,19.96
2021-12-31,126.43,$5.60,22.58
2021-09-30,143.63,$5.85,24.55
2021-06-30,133.11,$6.14,21.68
2021-03-31,120.77,$5.46,22.12
2020-12-31,109.08,$5.16,21.14
2020-09-30,86.03,$5.32,16.17
2020-06-30,87.88,$4.88,18.01
2020-03-31,67.12,$5.09,13.19
2019-12-31,86.72,$4.99,17.38
2019-09-30,74.84,$4.10,18.25
2019-06-30,70.05,$3.88,18.05
2019-03-31,75.26,$3.71,20.29
2018-12-31,54.84,$3.65,15.02
2018-09-30,60.19,$3.38,17.81
2018-06-30,52.01,$3.19,16.3
2018-03-31,49.81,$3.10,16.07
2017-12-31,49.93,$3.68,13.57
2017-09-30,44.85,$3.67,12.22
2017-06-30,42.0,$3.55,11.83
2017-03-31,41.66,$3.49,11.94
2016-12-31,39.14,$2.69,14.55
2016-09-30,38.43,$2.67,14.39
2016-06-30,33.52,$2.64,12.7
2016-03-31,31.2,$2.51,12.43
2015-12-31,28.65,$2.40,11.94
2015-09-30,27.26,$2.79,9.77
2015-06-30,32.91,$1.40,23.51
2015-03-31,35.2,$1.61,21.86
2014-12-31,38.75,$1.87,20.72
2014-09-30,37.8,$1.61,23.48
2014-06-30,43.88,$3.33,13.18
2014-03-31,39.49,$3.28,12.04
2013-12-31,32.73,$3.12,10.49
2013-09-30,31.72,$2.95,10.75
2013-06-30,25.12,$2.71,9.27
2013-03-31,22.65,$2.78,8.15
2012-12-31,27.57,$2.77,9.95
2012-09-30,27.94,$2.96,9.44
2012-06-30,25.35,$3.01,8.42
2012-03-31,30.74,$2.62,11.73
2011-12-31,25.83,$2.67,9.67
2011-09-30,20.4,$2.50,8.16
2011-06-30,20.96,$3.16,6.63
2011-03-31,20.97,$3.27,6.41
2010-12-31,19.19,$2.97,6.46
2010-09-30,18.79,$3.67,5.12
2010-06-30,18.07,$3.31,5.46
2010-03-31,22.97,$3.45,6.66
2009-12-31,18.26,$3.50,5.22
