Potlatch PE Ratio Historical Data,Potlatch PE Ratio Historical Data,Potlatch PE Ratio Historical Data,Potlatch PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,45.74,,163.36
2024-12-31,39.25,$0.28,140.18
2024-09-30,44.57,$0.21,212.25
2024-06-30,38.59,$0.46,83.89
2024-03-31,45.57,$0.57,79.95
2023-12-31,47.13,$0.77,61.21
2023-09-30,43.16,$0.82,52.64
2023-06-30,49.79,$1.17,42.55
2023-03-31,46.18,$2.61,17.69
2022-12-31,40.64,$4.76,8.54
2022-09-30,36.76,$5.29,6.95
2022-06-30,39.2,$5.62,6.97
2022-03-31,46.38,$6.67,6.95
2021-12-31,52.55,$6.26,8.39
2021-09-30,41.68,$7.16,5.82
2021-06-30,42.6,$7.39,5.77
2021-03-31,42.12,$4.66,9.04
2020-12-31,39.49,$2.47,15.99
2020-09-30,32.96,$1.16,28.41
2020-06-30,29.5,$0.26,113.45
2020-03-31,24.08,$0.47,51.24
2019-12-31,32.86,$0.82,40.07
2019-09-30,30.91,$0.68,45.46
2019-06-30,29.05,$1.31,22.18
2019-03-31,27.84,$1.79,15.55
2018-12-31,23.05,$1.98,11.64
2018-09-30,29.83,$2.23,13.38
2018-06-30,35.85,$2.12,16.91
2018-03-31,36.42,$1.98,18.39
2017-12-31,34.64,$2.10,16.5
2017-09-30,35.13,$2.17,16.19
2017-06-30,31.24,$2.03,15.39
2017-03-31,30.98,$0.67,46.24
2016-12-31,28.0,$0.26,107.68
2016-09-30,25.92,0,0.0
2016-06-30,22.49,$-0.15,0.0
2016-03-31,20.55,$0.64,32.11
2015-12-31,19.46,$0.78,24.95
2015-09-30,18.29,$1.18,15.5
2015-06-30,22.19,$1.46,15.2
2015-03-31,24.89,$1.84,13.53
2014-12-31,25.78,$2.20,11.72
2014-09-30,24.54,$2.05,11.97
2014-06-30,25.05,$1.78,14.07
2014-03-31,23.21,$1.85,12.54
2013-12-31,24.82,$1.73,14.35
2013-09-30,23.39,$1.73,13.52
2013-06-30,23.65,$1.65,14.33
2013-03-31,26.63,$1.31,20.33
2012-12-31,22.57,$1.06,21.3
2012-09-30,21.38,$0.68,31.44
2012-06-30,18.12,$0.85,21.32
2012-03-31,17.59,$0.93,18.92
2011-12-31,17.29,$0.99,17.46
2011-09-30,17.34,$1.26,13.76
2011-06-30,19.1,$1.08,17.68
2011-03-31,21.44,$1.16,18.49
2010-12-31,17.13,$1.00,17.13
2010-09-30,17.61,$0.84,20.96
2010-06-30,18.23,$1.54,11.83
2010-03-31,17.62,$1.34,13.15
2009-12-31,15.79,$1.93,8.18
